Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
31;174;best/1;50;200;42;am;svm;error;0.5;5;92.3;84.6;90.26;3.15;223.387;210.247;10050.0;92.31;4;4.0
31;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.92;2.82;162.382;153.064;10050.0;87.18;11;10.4
32;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.28;3.86;223.265;210.281;10050.0;92.31;4;5.6
32;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;85.9;2.77;161.466;152.202;10050.0;87.18;10;9.7
33;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;89.7;92.31;2.42;223.618;210.736;10050.0;92.31;3;5.9
33;174;best/1;50;200;42;am;knn;error;0.5;5;87.2;82.1;85.13;2.65;164.433;153.816;10050.0;87.18;9;10.3
34;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.28;3.24;240.636;215.881;10050.0;84.62;3;5.2
34;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.41;2.43;187.415;160.762;10050.0;87.18;13;10.8
35;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;89.74;3.82;252.219;221.464;10050.0;92.31;4;4.5
35;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.92;1.89;178.558;160.114;10050.0;87.18;13;9.7
36;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.03;4.05;240.696;218.011;10050.0;84.62;3;5.7
36;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;85.64;3.24;171.562;155.697;10050.0;82.05;9;9.1
