Case_ID,Dataset_ID,Strategy,Population_size,Generations_number,Seed,Decoder,Evaluator,Fitness,Alpha,CV_Folds,Best,Worst,Avg,Std,Wall_Time_Avg(s),CPU_Time_Avg(s),NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
31,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.51,1.72,189.37,178.059,10000,95.61,24,13.8
31,17,best/1,50,200,42,am,svm,error,0.5,5,97.4,94.7,96.14,0.89,306.708,287.902,10000,97.37,24,17.1
31,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,88.7,91.41,2.31,180.765,169.816,10000,94.37,9,5.4
31,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,93.0,95.49,1.97,279.136,261.839,10000,98.59,20,15.1
31,151,best/1,50,200,42,am,knn,error,0.5,5,88.1,66.7,77.86,5.84,195.21,183.144,10000,88.1,32,24.2
31,151,best/1,50,200,42,am,svm,error,0.5,5,90.5,78.6,84.29,3.87,287.682,269.995,10000,90.48,42,26.9
31,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,86.92,2.68,162.382,153.064,10000,89.74,14,10.4
31,174,best/1,50,200,42,am,svm,error,0.5,5,92.3,84.6,90.26,2.99,223.387,210.247,10000,92.31,9,4.0
32,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.95,1.64,189.305,177.892,10000,95.61,23,17.3
32,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,93.9,96.32,1.16,308.606,290.277,10000,98.25,20,17.4
32,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,84.5,90.7,3.4,180.662,169.809,10000,94.37,9,4.9
32,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,91.5,96.06,2.25,278.673,262.361,10000,98.59,22,16.7
32,151,best/1,50,200,42,am,knn,error,0.5,5,83.3,69.0,78.81,3.91,193.59,181.561,10000,83.33,33,25.0
32,151,best/1,50,200,42,am,svm,error,0.5,5,90.5,78.6,83.81,3.96,290.68,272.906,10000,90.48,42,28.5
32,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,85.9,2.63,161.466,152.202,10000,89.74,13,9.7
32,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,84.6,91.28,3.66,223.265,210.281,10000,94.87,11,5.6
33,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.25,1.88,188.944,178.109,10000,95.61,21,16.0
33,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,95.6,97.28,0.92,309.255,290.636,10000,98.25,21,17.1
33,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,84.5,90.42,3.07,181.064,170.253,10000,94.37,9,5.1
33,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,94.4,95.92,1.33,279.335,262.422,10000,98.59,22,17.5
33,151,best/1,50,200,42,am,knn,error,0.5,5,83.3,69.0,78.1,4.1,192.928,181.139,10000,83.33,40,24.4
33,151,best/1,50,200,42,am,svm,error,0.5,5,85.7,71.4,82.14,4.02,287.387,269.998,10000,85.71,37,26.9
33,174,best/1,50,200,42,am,knn,error,0.5,5,87.2,82.1,85.13,2.51,164.433,153.816,10000,87.18,13,10.3
33,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,89.7,92.31,2.29,223.618,210.736,10000,94.87,10,5.9
34,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,94.12,1.47,189.362,177.667,10000,95.61,21,14.6
34,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,94.7,96.75,1.11,308.947,290.728,10000,98.25,23,15.9
34,52,best/1,50,200,42,am,knn,error,0.5,5,95.8,93.0,94.51,0.76,181.391,170.589,10000,95.77,11,6.3
34,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,94.4,96.48,1.3,279.631,262.809,10000,98.59,20,17.3
34,151,best/1,50,200,42,am,knn,error,0.5,5,85.7,71.4,78.1,4.1,191.435,179.605,10000,85.71,40,27.5
34,151,best/1,50,200,42,am,svm,error,0.5,5,88.1,78.6,83.57,3.91,287.413,269.52,10000,88.1,41,24.3
34,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,86.41,2.31,187.415,160.762,10000,89.74,15,10.8
34,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,84.6,91.28,3.08,240.636,215.881,10000,94.87,11,5.2
35,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,94.74,1.24,188.976,177.745,10000,95.61,24,17.7
35,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,94.7,96.93,1.13,307.331,288.997,10000,98.25,20,16.1
35,52,best/1,50,200,42,am,knn,error,0.5,5,95.8,88.7,92.11,2.29,180.87,169.881,10000,95.77,9,6.3
35,52,best/1,50,200,42,am,svm,error,0.5,5,97.2,93.0,95.63,1.17,278.675,261.962,10000,97.18,22,17.8
35,151,best/1,50,200,42,am,knn,error,0.5,5,88.1,76.2,80.0,3.72,192.776,181.064,10000,88.1,37,27.2
35,151,best/1,50,200,42,am,svm,error,0.5,5,90.5,73.8,82.62,5.22,286.903,269.325,10000,90.48,38,23.5
35,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,86.92,1.8,178.558,160.114,10000,89.74,13,9.7
35,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,84.6,89.74,3.63,252.219,221.464,10000,94.87,11,4.5
36,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.42,1.81,188.953,177.681,10000,95.61,21,14.1
36,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,95.6,96.75,0.88,310.396,291.698,10000,98.25,21,17.1
36,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,83.1,90.85,3.47,180.106,169.098,10000,94.37,7,5.2
36,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,93.0,96.34,1.44,279.755,262.797,10000,98.59,22,18.3
36,151,best/1,50,200,42,am,knn,error,0.5,5,90.5,71.4,79.52,5.95,193.599,181.522,10000,90.48,37,27.2
36,151,best/1,50,200,42,am,svm,error,0.5,5,88.1,76.2,83.1,4.05,288.391,270.658,10000,88.1,33,26.6
36,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,85.64,3.08,171.562,155.697,10000,89.74,12,9.1
36,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,84.6,91.03,3.85,240.696,218.011,10000,94.87,13,5.7
37,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.42,1.81,189.128,177.822,10000,95.61,21,14.1
37,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,95.6,96.75,0.88,310.271,291.786,10000,98.25,21,17.1
37,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,83.1,90.85,3.47,180.316,169.548,10000,94.37,7,5.2
37,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,93.0,96.34,1.44,279.837,263.209,10000,98.59,22,18.3
37,151,best/1,50,200,42,am,knn,error,0.5,5,90.5,71.4,79.52,5.95,193.893,181.422,10000,90.48,37,27.2
37,151,best/1,50,200,42,am,svm,error,0.5,5,88.1,76.2,83.1,4.05,289.127,270.742,10000,88.1,33,26.6
37,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,87.18,1.99,169.317,155.358,10000,89.74,12,9.6
37,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,84.6,91.03,3.85,233.706,214.345,10000,94.87,13,5.7
38,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.77,1.69,189.339,177.805,10000,95.61,22,15.7
38,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,94.7,97.02,1.12,312.241,293.412,10000,98.25,20,16.3
38,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,85.9,91.41,3.36,181.64,170.253,10000,94.37,9,5.1
38,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,94.4,96.34,1.69,280.504,263.695,10000,98.59,21,15.8
38,151,best/1,50,200,42,am,knn,error,0.5,5,88.1,73.8,79.52,4.9,194.609,181.7,10000,88.1,38,27.7
38,151,best/1,50,200,42,am,svm,error,0.5,5,85.7,78.6,82.38,3.05,288.347,270.108,10000,85.71,38,26.2
38,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,84.87,2.91,162.415,152.519,10000,89.74,12,9.0
38,174,best/1,50,200,42,am,svm,error,0.5,5,92.3,84.6,90.0,3.53,228.103,212.234,10000,92.31,9,3.8
39,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,94.21,1.53,189.661,178.341,10000,95.61,25,15.4
39,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,95.6,97.37,0.88,310.056,291.344,10000,98.25,19,15.5
39,52,best/1,50,200,42,am,knn,error,0.5,5,95.8,88.7,92.39,2.54,180.731,169.506,10000,95.77,9,5.6
39,52,best/1,50,200,42,am,svm,error,0.5,5,97.2,93.0,94.93,1.44,279.58,262.366,10000,97.18,23,17.7
39,151,best/1,50,200,42,am,knn,error,0.5,5,85.7,66.7,78.81,5.48,200.728,183.969,10000,85.71,49,28.4
39,151,best/1,50,200,42,am,svm,error,0.5,5,88.1,71.4,83.33,4.52,298.969,273.206,10000,88.1,39,25.3
39,174,best/1,50,200,42,am,knn,error,0.5,5,87.2,82.1,84.62,2.56,163.212,152.325,10000,87.18,14,10.1
