Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
1;0;rand/2;200;50;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;8.683;8.247;200.0;100.0;17;16.7
1;0;rand/2;20;500;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;0.881;0.83;20.0;100.0;15;17.3
1;0;rand/2;100;100;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;4.374;4.156;100.0;100.0;19;16.1
7;0;rand/2;200;50;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;8.618;8.169;200.0;100.0;17;16.7
9;0;rand/2;20;500;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;0.856;0.808;20.0;100.0;17;17.3
8;0;rand/2;100;100;42;sigma;svm;error;0.5;5;100.0;100.0;100.0;0.0;4.303;4.03;100.0;100.0;19;16.1
28;0;rand/1;200;50;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;8.779;8.27;200.0;100.0;19;15.9
30;0;rand/1;20;500;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;0.856;0.814;20.0;100.0;15;15.9
29;0;rand/1;100;100;42;am;svm;error;0.5;5;100.0;100.0;100.0;0.0;4.359;4.116;100.0;100.0;15;15.9
7;174;rand/2;200;50;42;sigma;svm;error;0.5;5;94.9;89.7;92.05;1.46;211.166;199.033;10200.0;92.31;12;11.5
7;174;best/1;200;50;42;sigma;svm;error;0.5;5;94.9;84.6;92.56;3.3;213.034;200.781;10200.0;94.87;8;9.8
7;174;best/1;200;50;42;sigma;knn;error;0.5;5;92.3;71.8;84.87;5.98;161.447;151.969;10200.0;87.18;9;11.4
8;174;best/1;100;100;42;sigma;svm;error;0.5;5;94.9;89.7;91.54;1.73;210.202;198.42;10100.0;89.74;5;9.2
8;174;best/1;100;100;42;sigma;knn;error;0.5;5;92.3;82.1;86.41;4.84;158.894;150.033;10100.0;87.18;10;10.4
9;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;92.05;2.25;217.626;204.567;10020.0;92.31;9;11.1
9;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;79.5;84.87;4.59;167.95;154.491;10020.0;89.74;15;11.1
28;174;best/1;200;50;42;am;svm;error;0.5;5;94.9;84.6;91.54;4.02;201.649;190.859;10200.0;84.62;3;7.4
28;174;best/1;200;50;42;am;knn;error;0.5;5;89.7;82.1;85.38;2.97;150.388;142.669;10200.0;87.18;13;10.3
29;174;best/1;100;100;42;am;svm;error;0.5;5;94.9;89.7;93.08;2.11;208.613;198.202;10100.0;92.31;4;9.5
29;174;best/1;100;100;42;am;knn;error;0.5;5;87.2;82.1;86.67;1.62;147.791;140.556;10100.0;82.05;8;10.7
30;174;best/1;20;500;42;am;svm;error;0.5;5;94.9;84.6;92.31;3.2;208.93;198.927;10020.0;84.62;3;10.3
30;174;best/1;20;500;42;am;knn;error;0.5;5;87.2;82.1;84.87;2.55;147.589;140.562;10020.0;87.18;13;10.2
7;17;best/1;200;50;42;sigma;svm;error;0.5;5;97.4;94.7;96.4;0.87;278.984;265.67;10200.0;96.49;17;15.4
7;17;best/1;200;50;42;sigma;knn;error;0.5;5;95.6;91.2;93.86;1.85;181.032;172.348;10200.0;91.23;12;15.3
8;17;best/1;100;100;42;sigma;svm;error;0.5;5;98.2;93.9;96.14;1.5;280.205;266.728;10100.0;95.61;13;15.2
8;17;best/1;100;100;42;sigma;knn;error;0.5;5;95.6;87.7;93.25;2.58;180.675;171.866;10100.0;94.74;15;14.1
9;17;best/1;20;500;42;sigma;svm;error;0.5;5;98.2;95.6;97.11;1.1;280.107;266.555;10020.0;98.25;10;15.1
9;17;best/1;20;500;42;sigma;knn;error;0.5;5;93.9;89.5;91.67;1.39;182.251;173.208;10020.0;91.23;17;15.0
28;17;best/1;200;50;42;am;svm;error;0.5;5;98.2;94.7;97.28;1.05;297.876;283.461;10200.0;97.37;17;17.5
28;17;best/1;200;50;42;am;knn;error;0.5;5;95.6;91.2;94.39;1.71;174.105;165.617;10200.0;94.74;14;13.9
29;17;best/1;100;100;42;am;svm;error;0.5;5;98.2;94.7;96.75;1.44;283.609;270.111;10100.0;96.49;15;16.5
29;17;best/1;100;100;42;am;knn;error;0.5;5;95.6;91.2;93.6;1.9;174.311;166.175;10100.0;95.61;16;13.5
30;17;best/1;20;500;42;am;svm;error;0.5;5;98.2;94.7;96.49;1.37;283.477;269.889;10020.0;94.74;18;16.8
30;17;best/1;20;500;42;am;knn;error;0.5;5;95.6;94.7;95.09;0.45;175.575;167.069;10020.0;95.61;16;18.7
7;52;best/1;200;50;42;sigma;svm;error;0.5;5;98.6;93.0;96.06;1.97;257.797;245.455;10200.0;98.59;16;16.7
7;52;best/1;200;50;42;sigma;knn;error;0.5;5;93.0;80.3;90.0;4.01;174.793;166.305;10200.0;91.55;11;10.6
8;52;best/1;100;100;42;sigma;svm;error;0.5;5;98.6;94.4;96.06;1.29;255.414;243.416;10100.0;97.18;17;17.2
8;52;best/1;100;100;42;sigma;knn;error;0.5;5;95.8;90.1;92.54;1.76;171.786;163.939;10100.0;90.14;11;10.8
9;52;best/1;20;500;42;sigma;svm;error;0.5;5;97.2;94.4;96.48;1.0;251.589;239.15;10020.0;97.18;14;15.7
9;52;best/1;20;500;42;sigma;knn;error;0.5;5;93.0;83.1;89.72;3.26;172.013;163.116;10020.0;90.14;8;11.7
28;52;best/1;200;50;42;am;svm;error;0.5;5;97.2;94.4;95.35;1.16;254.034;240.591;10200.0;95.77;19;15.5
28;52;best/1;200;50;42;am;knn;error;0.5;5;94.4;87.3;92.39;2.59;132.576;125.658;10200.0;92.96;5;4.4
29;52;best/1;100;100;42;am;svm;error;0.5;5;97.2;94.4;95.77;0.94;256.758;244.114;10100.0;95.77;20;18.3
29;52;best/1;100;100;42;am;knn;error;0.5;5;95.8;85.9;92.25;3.06;149.161;142.423;10100.0;95.77;5;5.5
30;52;best/1;20;500;42;am;svm;error;0.5;5;97.2;94.4;95.77;0.94;256.223;244.794;10020.0;95.77;20;17.4
30;52;best/1;20;500;42;am;knn;error;0.5;5;94.4;84.5;90.7;3.4;157.608;150.583;10020.0;91.55;7;6.0
7;151;best/1;200;50;42;sigma;svm;error;0.5;5;88.1;81.0;83.81;2.7;264.565;252.398;10200.0;85.71;31;29.5
7;151;best/1;200;50;42;sigma;knn;error;0.5;5;88.1;69.0;78.1;5.36;175.862;168.047;10200.0;76.19;27;30.6
8;151;best/1;100;100;42;sigma;svm;error;0.5;5;90.5;81.0;84.29;2.79;257.062;246.316;10100.0;83.33;26;28.1
8;151;best/1;100;100;42;sigma;knn;error;0.5;5;85.7;71.4;78.57;4.05;175.462;167.731;10100.0;73.81;36;29.9
9;151;best/1;20;500;42;sigma;svm;error;0.5;5;90.5;81.0;84.76;3.21;259.477;248.22;10020.0;90.48;24;27.9
9;151;best/1;20;500;42;sigma;knn;error;0.5;5;90.5;66.7;78.57;6.64;171.03;163.983;10020.0;76.19;29;30.9
