Case_ID,Dataset_ID,Strategy,Population_size,Generations_number,Seed,Decoder,Evaluator,Fitness,Alpha,CV_Folds,Best,Worst,Avg,Std,Wall_Time_Avg(s),CPU_Time_Avg(s),NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
1,17,rand/1,50,200,42,sigma,knn,error,0.5,5,95.6,91.2,93.86,1.75,241.975,179.811,10000,95.61,19,15.1
1,17,rand/1,50,200,42,sigma,svm,error,0.5,5,98.2,94.7,96.59,1.2,399.155,283.759,10000,98.25,18,15.67
1,52,rand/1,50,200,42,sigma,knn,error,0.5,5,95.8,84.5,88.73,3.33,233.357,167.648,10000,95.77,17,12.1
1,52,rand/1,50,200,42,sigma,svm,error,0.5,5,98.6,93.0,96.34,1.69,353.202,257.148,10000,98.59,19,16.4
1,151,rand/1,50,200,42,sigma,knn,error,0.5,5,88.1,71.4,79.52,5.85,242.049,174.953,10000,88.1,36,29.7
1,151,rand/1,50,200,42,sigma,svm,error,0.5,5,90.5,78.6,84.76,3.05,370.734,266.073,10000,90.48,34,27.5
1,174,rand/1,50,200,42,sigma,knn,error,0.5,5,87.2,82.1,85.64,2.35,207.169,154.997,10000,87.18,13,10.0
1,174,rand/1,50,200,42,sigma,svm,error,0.5,5,97.4,92.3,94.36,1.54,265.593,206.53,10000,97.44,12,9.8
17,17,rand/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.25,1.88,254.957,177.314,10000,95.61,17,11.8
17,17,rand/1,50,200,42,am,svm,error,0.5,5,98.2,94.7,96.32,1.23,405.697,289.92,10000,98.25,22,15.5
17,52,rand/1,50,200,42,am,knn,error,0.5,5,95.8,87.3,92.39,2.54,235.717,170.308,10000,95.77,8,4.8
17,52,rand/1,50,200,42,am,svm,error,0.5,5,97.2,94.4,95.63,1.17,353.355,259.559,10000,97.18,18,15.6
17,151,rand/1,50,200,42,am,knn,error,0.5,5,85.7,73.8,80.71,3.76,251.463,178.183,10000,85.71,38,27.8
17,151,rand/1,50,200,42,am,svm,error,0.5,5,92.9,71.4,82.62,5.64,362.734,265.094,10000,92.86,32,24.1
17,174,rand/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,86.67,2.51,263.813,157.67,10000,89.74,13,10.5
17,174,rand/1,50,200,42,am,svm,error,0.5,5,94.9,89.7,93.33,1.7,327.133,212.508,10000,94.87,11,5.7
18,17,rand/2,50,200,42,am,knn,error,0.5,5,95.6,91.2,94.39,1.63,247.124,177.233,10000,95.61,23,15.1
18,17,rand/2,50,200,42,am,svm,error,0.5,5,98.2,94.7,97.11,1.18,400.205,291.669,10000,98.25,23,17.9
18,52,rand/2,50,200,42,am,knn,error,0.5,5,95.8,87.3,92.39,2.29,227.104,169.241,10000,95.77,11,6.6
18,52,rand/2,50,200,42,am,svm,error,0.5,5,97.2,95.8,96.06,0.56,363.989,261.086,10000,97.18,19,15.0
18,151,rand/2,50,200,42,am,knn,error,0.5,5,81.0,71.4,76.19,3.69,247.157,179.022,10000,80.95,45,30.8
18,151,rand/2,50,200,42,am,svm,error,0.5,5,88.1,78.6,82.86,2.97,363.339,266.28,10000,88.1,38,25.5
18,174,rand/2,50,200,42,am,knn,error,0.5,5,89.7,82.1,87.18,1.99,280.99,156.023,10000,89.74,14,10.1
18,174,rand/2,50,200,42,am,svm,error,0.5,5,94.9,84.6,91.79,3.2,386.269,216.403,10000,94.87,13,6.0
19,17,best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.42,1.81,252.975,176.55,10000,95.61,21,14.1
19,17,best/1,50,200,42,am,svm,error,0.5,5,98.2,95.6,96.75,0.88,384.546,290.144,10000,98.25,21,17.1
19,52,best/1,50,200,42,am,knn,error,0.5,5,94.4,83.1,90.85,3.47,228.443,167.45,10000,94.37,7,5.2
19,52,best/1,50,200,42,am,svm,error,0.5,5,98.6,93.0,96.34,1.44,362.734,261.603,10000,98.59,22,18.3
19,151,best/1,50,200,42,am,knn,error,0.5,5,90.5,71.4,79.52,5.95,252.149,181.091,10000,90.48,37,27.2
19,151,best/1,50,200,42,am,svm,error,0.5,5,88.1,76.2,83.1,4.05,367.013,268.556,10000,88.1,33,26.6
19,174,best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,87.18,1.99,271.135,154.547,10000,89.74,12,9.7
19,174,best/1,50,200,42,am,svm,error,0.5,5,94.9,84.6,91.03,3.85,399.673,215.173,10000,94.87,13,5.7
2,17,rand/2,50,200,42,sigma,knn,error,0.5,5,95.6,91.2,94.3,1.58,251.617,179.938,10000,95.61,20,15.0
2,17,rand/2,50,200,42,sigma,svm,error,0.5,5,98.2,93.9,96.58,1.38,383.906,282.845,10000,98.25,19,16.1
2,52,rand/2,50,200,42,sigma,knn,error,0.5,5,93.0,90.1,91.55,1.26,237.068,169.653,10000,92.96,15,11.4
2,52,rand/2,50,200,42,sigma,svm,error,0.5,5,98.6,94.4,96.2,1.27,354.441,257.245,10000,98.59,21,17.4
2,151,rand/2,50,200,42,sigma,knn,error,0.5,5,85.7,69.0,79.52,4.79,248.648,174.861,10000,85.71,36,28.8
2,151,rand/2,50,200,42,sigma,svm,error,0.5,5,88.1,81.0,85.0,2.62,371.828,265.284,10000,88.1,36,30.9
2,174,rand/2,50,200,42,sigma,knn,error,0.5,5,87.2,82.1,86.15,2.05,227.512,154.611,10000,87.18,13,10.5
2,174,rand/2,50,200,42,sigma,svm,error,0.5,5,97.4,92.3,94.1,1.64,278.338,207.62,10000,97.44,11,9.0
20,17,best/2,50,200,42,am,knn,error,0.5,5,95.6,91.2,94.3,1.58,247.142,176.456,10000,95.61,19,15.7
20,17,best/2,50,200,42,am,svm,error,0.5,5,98.2,94.7,96.67,1.02,399.581,292.308,10000,98.25,19,14.8
20,52,best/2,50,200,42,am,knn,error,0.5,5,95.8,87.3,92.11,2.54,245.893,168.289,10000,95.77,8,4.9
20,52,best/2,50,200,42,am,svm,error,0.5,5,98.6,94.4,97.04,1.17,360.692,261.244,10000,98.59,22,16.7
20,151,best/2,50,200,42,am,knn,error,0.5,5,85.7,73.8,78.81,4.32,262.182,180.88,10000,85.71,43,27.6
20,151,best/2,50,200,42,am,svm,error,0.5,5,85.7,73.8,82.62,3.38,355.513,268.734,10000,85.71,40,29.2
20,174,best/2,50,200,42,am,knn,error,0.5,5,89.7,82.1,86.92,1.8,226.399,152.322,10000,89.74,13,10.1
20,174,best/2,50,200,42,am,svm,error,0.5,5,92.3,84.6,90.0,2.91,348.659,211.847,10000,92.31,14,5.0
21,17,current-to-rand/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,93.86,1.75,246.094,176.894,10000,95.61,20,16.5
21,17,current-to-rand/1,50,200,42,am,svm,error,0.5,5,98.2,94.7,96.84,1.19,407.178,287.438,10000,98.25,21,17.3
21,52,current-to-rand/1,50,200,42,am,knn,error,0.5,5,95.8,87.3,91.69,3.05,233.222,170.158,10000,95.77,8,5.2
21,52,current-to-rand/1,50,200,42,am,svm,error,0.5,5,97.2,90.1,95.07,2.11,344.311,259.625,10000,97.18,20,16.2
21,151,current-to-rand/1,50,200,42,am,knn,error,0.5,5,88.1,73.8,80.24,4.4,243.683,178.028,10000,88.1,36,28.0
21,151,current-to-rand/1,50,200,42,am,svm,error,0.5,5,88.1,78.6,82.38,3.23,373.87,266.527,10000,88.1,33,24.6
21,174,current-to-rand/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,87.18,1.99,234.525,153.778,10000,89.74,16,10.9
21,174,current-to-rand/1,50,200,42,am,svm,error,0.5,5,97.4,84.6,90.0,4.79,343.088,211.594,10000,97.44,14,6.2
22,17,current-to-best/1,50,200,42,am,knn,error,0.5,5,95.6,91.2,94.12,1.92,228.808,177.019,10000,95.61,18,13.1
22,17,current-to-best/1,50,200,42,am,svm,error,0.5,5,98.2,94.7,96.4,1.38,394.195,287.536,10000,98.25,19,15.7
22,52,current-to-best/1,50,200,42,am,knn,error,0.5,5,94.4,85.9,90.28,2.04,232.962,168.58,10000,94.37,8,5.7
22,52,current-to-best/1,50,200,42,am,svm,error,0.5,5,98.6,94.4,96.48,1.3,357.057,259.317,10000,98.59,21,16.6
22,151,current-to-best/1,50,200,42,am,knn,error,0.5,5,85.7,71.4,78.81,4.93,219.699,180.219,10000,85.71,32,23.5
22,151,current-to-best/1,50,200,42,am,svm,error,0.5,5,90.5,78.6,84.05,3.38,361.519,267.53,10000,90.48,35,27.4
22,174,current-to-best/1,50,200,42,am,knn,error,0.5,5,89.7,82.1,84.87,2.91,223.622,151.642,10000,89.74,13,10.3
22,174,current-to-best/1,50,200,42,am,svm,error,0.5,5,97.4,84.6,91.03,4.48,337.414,210.486,10000,97.44,11,5.1
3,17,best/1,50,200,42,sigma,knn,error,0.5,5,94.7,91.2,93.68,1.61,261.134,179.508,10000,94.74,19,15.4
3,17,best/1,50,200,42,sigma,svm,error,0.5,5,98.2,95.6,97.02,1.05,389.257,282.534,10000,98.25,20,16.1
3,52,best/1,50,200,42,sigma,knn,error,0.5,5,97.2,83.1,92.54,3.83,227.811,169.598,10000,97.18,14,11.2
3,52,best/1,50,200,42,sigma,svm,error,0.5,5,97.2,94.4,95.49,1.23,366.539,256.844,10000,97.18,19,15.9
3,151,best/1,50,200,42,sigma,knn,error,0.5,5,83.3,69.0,79.52,4.54,234.903,174.264,10000,83.33,35,30.4
3,151,best/1,50,200,42,sigma,svm,error,0.5,5,88.1,81.0,84.29,2.65,363.411,265.811,10000,88.1,31,27.8
