Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
10;174;best/1;50;200;42;sigma;svm;error;0.5;5;92.3;87.2;91.03;1.81;231.833;214.62;10050.0;89.74;11;11.9
10;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;79.5;85.13;3.78;173.061;160.184;10050.0;84.62;12;11.0
11;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;87.2;91.79;2.65;230.161;213.859;10050.0;92.31;5;11.5
11;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;74.4;83.59;5.01;169.986;158.956;10050.0;92.31;7;11.1
12;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;92.31;2.09;228.684;213.202;10020.0;92.31;13;12.5
12;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;74.4;83.33;6.54;166.836;156.034;10020.0;79.49;10;10.9
13;174;best/1;50;200;42;sigma;svm;error;0.5;5;92.3;87.2;90.77;2.16;227.496;213.092;10050.0;89.74;8;13.0
13;174;best/1;50;200;42;sigma;knn;error;0.5;5;89.7;79.5;84.1;3.59;165.371;155.005;10050.0;79.49;9;11.6
14;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;92.31;1.71;221.001;207.016;10050.0;92.31;11;11.4
14;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;85.38;5.93;164.271;153.739;10050.0;84.62;12;10.9
15;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;93.33;1.79;217.638;205.175;10050.0;94.87;7;11.8
15;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;84.1;6.14;162.608;153.463;10050.0;82.05;9;9.9
16;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;93.33;1.79;217.199;204.092;10050.0;94.87;7;11.8
16;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;84.1;6.14;162.858;152.856;10050.0;82.05;9;9.9
17;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;87.2;91.79;2.91;218.71;205.552;10050.0;89.74;9;11.5
17;174;best/1;50;200;42;sigma;knn;error;0.5;5;89.7;79.5;84.1;3.15;163.084;153.223;10050.0;79.49;8;10.7
18;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;93.08;1.73;219.24;206.27;10050.0;92.31;10;10.7
18;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;71.8;83.85;6.84;162.638;153.617;10050.0;92.31;11;10.9
19;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;91.79;2.91;217.516;204.669;10020.0;94.87;10;11.0
19;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;74.4;84.36;5.19;162.39;152.745;10020.0;84.62;13;10.4
20;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;93.33;1.79;218.548;205.473;10050.0;89.74;6;10.7
20;174;best/1;50;200;42;sigma;knn;error;0.5;5;89.7;87.2;87.44;0.81;163.927;154.456;10050.0;87.18;9;10.9
21;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;89.7;92.56;1.89;215.877;202.681;10050.0;94.87;9;9.8
21;174;best/1;50;200;42;sigma;knn;error;0.5;5;92.3;82.1;87.44;3.72;161.145;151.852;10050.0;82.05;9;10.9
10;17;best/1;50;200;42;sigma;svm;error;0.5;5;98.2;93.9;96.49;1.24;296.15;278.203;10050.0;96.49;17;15.2
