Case_ID,Dataset_ID,Strategy,Population_size,Generations_number,Seed,Decoder,Evaluator,Fitness,Alpha,CV_Folds,Best,Worst,Avg,Std,Wall_Time_Avg(s),CPU_Time_Avg(s),NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
12,17,best/1,50,200,42,sigma,knn,error,0.5,5,95.6,91.2,94.39,1.63,198.852,183.261,10000,95.61,18,16.0
12,17,best/1,50,200,42,sigma,svm,error,0.5,5,98.2,96.5,97.19,0.76,309.56,286.227,10000,98.25,16,14.2
12,52,best/1,50,200,42,sigma,knn,error,0.5,5,93.0,84.5,89.58,2.76,186.748,171.547,10000,92.96,15,11.3
12,52,best/1,50,200,42,sigma,svm,error,0.5,5,98.6,93.0,96.2,1.79,282.83,261.439,10000,98.59,20,17.7
12,151,best/1,50,200,42,sigma,knn,error,0.5,5,88.1,71.4,80.0,4.54,194.033,178.286,10000,88.1,34,27.2
12,151,best/1,50,200,42,sigma,svm,error,0.5,5,90.5,81.0,85.24,2.57,294.514,270.222,10000,90.48,34,29.2
12,174,best/1,50,200,42,sigma,knn,error,0.5,5,87.2,82.1,86.15,2.05,169.446,156.686,10000,87.18,13,10.8
12,174,best/1,50,200,42,sigma,svm,error,0.5,5,94.9,89.7,93.59,1.72,226.248,209.594,10000,94.87,13,10.9
16,17,best/1,50,200,42,sigma,knn,error,0.5,5,95.6,91.2,93.07,1.86,194.742,180.258,10000,95.61,18,14.6
16,17,best/1,50,200,42,sigma,svm,error,0.5,5,98.2,93.9,96.32,1.23,306.583,284.342,10000,98.25,18,15.3
16,52,best/1,50,200,42,sigma,knn,error,0.5,5,94.4,83.1,89.72,3.45,184.347,170.906,10000,94.37,17,11.9
16,52,best/1,50,200,42,sigma,svm,error,0.5,5,98.6,93.0,96.2,1.55,281.487,260.025,10000,98.59,20,15.4
16,151,best/1,50,200,42,sigma,knn,error,0.5,5,85.7,71.4,79.29,3.99,178.412,168.773,10000,85.71,35,30.0
16,151,best/1,50,200,42,sigma,svm,error,0.5,5,88.1,81.0,85.95,1.98,286.686,266.4,10000,88.1,35,27.7
16,174,best/1,50,200,42,sigma,knn,error,0.5,5,87.2,82.1,85.64,2.35,168.108,155.744,10000,87.18,12,10.4
16,174,best/1,50,200,42,sigma,svm,error,0.5,5,94.9,92.3,93.85,1.26,226.192,208.788,10000,94.87,12,10.0
19,17,best/1,50,200,42,sigma,knn,error,0.5,5,95.6,94.7,94.91,0.35,198.245,182.852,10000,95.61,19,15.1
19,17,best/1,50,200,42,sigma,svm,error,0.5,5,98.2,94.7,96.84,1.31,311.854,286.933,10000,98.25,18,16.3
19,52,best/1,50,200,42,sigma,knn,error,0.5,5,91.5,87.3,90.28,1.72,187.198,172.105,10000,91.55,15,12.1
19,52,best/1,50,200,42,sigma,svm,error,0.5,5,98.6,95.8,96.06,0.85,283.46,260.677,10000,98.59,21,18.0
19,151,best/1,50,200,42,sigma,knn,error,0.5,5,83.3,71.4,76.43,3.6,170.53,160.778,10000,83.33,36,30.1
19,151,best/1,50,200,42,sigma,svm,error,0.5,5,88.1,76.2,82.62,3.2,290.343,267.428,10000,88.1,32,27.3
19,174,best/1,50,200,42,sigma,knn,error,0.5,5,87.2,82.1,85.64,2.35,168.461,156.259,10000,87.18,13,11.0
19,174,best/1,50,200,42,sigma,svm,error,0.5,5,94.9,92.3,93.85,1.26,227.002,209.858,10000,94.87,12,9.2
