Case_ID;Dataset_ID;Population_size;Generations_number;Seed;Decoder;Decoder_Params;DE_Best_light;DE_Worst_light;DE_Avg_light;DE_Std_light;DE_Best_heavy;DE_Worst_heavy;DE_Avg_heavy;DE_Std_heavy;DE_Time(s);DE_NFE_Avg;Champion_SVM;Nb_Features_Keep
sigma_1;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";86.2;86.2;86.15;0.0;87.7;85.6;86.77;0.76;29.348;550;87.69;11
rand/1;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";86.2;86.2;86.15;0.0;87.7;85.6;86.77;0.76;27.6;550;87.69;11
rand/2;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";86.2;86.2;86.15;0.0;87.7;86.2;87.18;0.63;27.57;550;87.69;8
best/1;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";86.2;84.1;85.33;1.12;87.7;84.6;86.56;1.38;27.239;550;87.69;7
best/2;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";86.2;85.1;85.95;0.46;88.2;86.2;87.38;0.93;27.493;550;88.21;6
sigma_1;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.7;94.7;94.73;0.0;97.2;96.5;96.84;0.33;45.313;550;96.66;13
rand/1;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.7;94.7;94.73;0.0;97.2;96.5;96.84;0.33;45.241;550;96.66;13
rand/2;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.7;94.7;94.73;0.0;97.4;95.8;96.66;0.57;44.163;550;96.66;13
best/1;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.7;94.2;94.48;0.23;97.2;96.1;96.8;0.47;42.164;550;97.19;19
best/2;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.7;94.2;94.63;0.24;97.0;96.3;96.52;0.29;45.427;550;96.31;15
sigma_1;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";91.2;88.9;89.7;0.89;94.9;92.3;93.68;1.0;46.289;550;93.17;8
rand/1;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";91.2;88.9;89.7;0.89;94.9;92.3;93.68;1.0;48.28;550;93.17;8
rand/2;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.6;88.9;89.75;0.6;94.3;92.6;93.45;0.7;49.204;550;93.15;9
best/1;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";91.2;88.6;90.09;1.02;94.3;92.3;93.56;0.92;44.425;550;92.31;11
best/2;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";91.2;89.8;90.61;0.57;94.3;92.0;93.34;0.84;44.568;550;93.17;12
sigma_1;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";69.8;65.9;68.19;1.66;82.7;79.3;81.83;1.42;54.429;550;82.68;23
rand/1;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";69.8;65.9;68.19;1.66;82.7;79.3;81.83;1.42;53.608;550;82.68;23
rand/2;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";70.7;67.3;68.46;1.3;84.1;77.4;80.59;2.96;54.004;550;79.83;23
best/1;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";77.0;71.6;73.84;2.65;81.3;78.9;79.82;0.97;52.979;550;80.3;22
best/2;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";76.9;70.7;73.09;2.91;81.7;74.1;78.38;3.14;52.412;550;78.87;26
sigma_1;0;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";100.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;7.731;50;100.0;24
rand/1;0;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";100.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;7.593;50;100.0;24
rand/2;0;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";100.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;7.678;50;100.0;24
