Case_ID;Dataset_ID;Population_size;Generations_number;Seed;Decoder;Decoder_Params;DE_Best_light;DE_Worst_light;DE_Avg_light;DE_Std_light;DE_Best_heavy;DE_Worst_heavy;DE_Avg_heavy;DE_Std_heavy;DE_Time(s);DE_NFE_Avg;Champion_SVM;Nb_Features_Keep
sigma_1;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";87.0;80.6;84.81;2.43;88.7;84.6;86.77;1.79;28.755;550;85.13;1
am_1;174;50;10;40000046;am;"{""name"": ""am""}";90.3;87.2;89.28;1.43;85.6;85.1;85.54;0.23;24.662;550;85.64;1
sigma_1;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.1;88.2;88.8;0.77;93.5;92.1;92.76;0.63;36.575;550;92.62;3
am_1;17;50;10;40000046;am;"{""name"": ""am""}";93.5;92.8;93.29;0.29;91.2;88.6;90.41;1.08;32.424;550;91.22;1
sigma_1;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";87.4;82.6;85.12;1.99;90.9;89.2;90.14;0.79;42.34;550;90.31;5
am_1;52;50;10;40000046;am;"{""name"": ""am""}";91.6;90.5;90.84;0.47;88.3;84.9;86.15;1.43;35.144;550;86.89;2
sigma_1;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";72.1;68.0;69.69;1.76;86.6;72.1;79.72;5.3;52.799;550;79.35;13
am_1;151;50;10;40000046;am;"{""name"": ""am""}";83.5;80.3;82.23;1.22;78.4;68.3;73.76;3.65;38.415;550;73.55;1
sigma_1;0;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.2;89.1;90.0;0.49;100.0;100.0;100.0;0.0;111.911;550;100.0;9
am_1;0;50;10;40000046;am;"{""name"": ""am""}";98.9;97.8;98.48;0.6;100.0;100.0;100.0;0.0;103.219;550;100.0;1
