Case_ID;Dataset_ID;Population_size;Generations_number;Seed;Decoder;Decoder_Params;DE_Best_light;DE_Worst_light;DE_Avg_light;DE_Std_light;DE_Best_heavy;DE_Worst_heavy;DE_Avg_heavy;DE_Std_heavy;DE_Time(s);DE_NFE_Avg;Champion_SVM;Nb_Features_Keep
sigma_1;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";38.5;29.7;35.38;3.61;84.1;75.4;78.87;3.65;30.688;550;79.49;7
am_1;174;50;10;40000046;am;"{""name"": ""am""}";38.5;34.4;36.41;1.5;79.0;75.4;76.62;1.72;32.184;550;75.38;4
sigma_1;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";27.4;15.6;22.5;4.96;96.1;91.2;93.82;2.34;42.973;550;91.39;10
am_1;17;50;10;40000046;am;"{""name"": ""am""}";45.9;39.9;43.55;2.48;68.7;62.7;64.43;2.47;41.055;550;62.74;1
sigma_1;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";22.5;21.4;22.0;0.42;94.0;92.6;93.39;0.55;51.424;550;92.59;17
sigma_1;174;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";86.2;86.2;86.15;0.0;87.7;85.6;86.77;0.76;29.904;550;87.69;11
am_1;174;50;10;40000046;am;"{""name"": ""am""}";87.7;84.6;85.95;1.34;89.7;84.1;87.49;2.25;29.58;550;86.67;3
sigma_1;17;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.7;94.7;94.73;0.0;97.2;96.5;96.84;0.33;46.016;550;96.66;13
am_1;17;50;10;40000046;am;"{""name"": ""am""}";94.7;94.6;94.69;0.08;97.4;94.7;96.28;0.97;48.895;550;96.66;17
sigma_1;52;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";91.2;88.9;89.7;0.89;94.9;92.3;93.68;1.0;47.202;550;93.17;8
am_1;52;50;10;40000046;am;"{""name"": ""am""}";90.3;90.0;90.26;0.14;93.7;90.3;91.96;1.47;38.294;550;90.59;5
sigma_1;151;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";69.8;65.9;68.19;1.66;82.7;79.3;81.83;1.42;52.561;550;82.68;23
am_1;151;50;10;40000046;am;"{""name"": ""am""}";73.7;69.8;71.89;1.71;79.8;74.1;77.03;2.46;43.296;550;77.42;10
sigma_1;0;50;10;40000046;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";100.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;8.328;50;100.0;24
am_1;0;50;10;40000046;am;"{""name"": ""am""}";100.0;100.0;100.0;0.0;100.0;100.0;100.0;0.0;11.325;50;100.0;34
