Case_ID;Dataset_ID;Population_size;Generations_number;Seed;Decoder;Decoder_Params;DE_Best_light;DE_Worst_light;DE_Avg_light;DE_Std_light;DE_Best_heavy;DE_Worst_heavy;DE_Avg_heavy;DE_Std_heavy;DE_Time(s);DE_NFE_Avg;Champion_SVM;Nb_Features_Keep
rand/1;174;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";89.3;89.0;89.16;0.16;87.2;83.1;85.13;2.9;22.701;550;83.08;1
rand/2;174;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";88.8;85.7;87.27;2.15;86.7;85.1;85.9;1.09;22.101;550;86.67;2
best/1;174;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.5;90.5;90.55;0.0;85.6;85.6;85.64;0.0;21.117;550;85.64;1
best/2;174;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.5;90.3;90.42;0.18;85.6;85.1;85.38;0.36;20.466;550;85.64;1
rand/1;17;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.7;89.2;89.95;1.05;95.1;91.4;93.24;2.61;32.025;550;91.39;3
rand/2;17;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";89.9;87.2;88.55;1.92;96.5;94.4;95.43;1.49;30.186;550;96.49;5
best/1;17;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";92.3;90.7;91.49;1.12;94.6;91.4;92.97;2.24;31.602;550;94.55;3
best/2;17;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.5;93.6;94.03;0.62;95.6;93.9;94.73;1.24;30.994;550;95.6;2
rand/1;52;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";87.0;86.6;86.8;0.34;93.7;91.7;92.73;1.41;28.191;550;91.73;6
rand/2;52;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";87.7;86.9;87.28;0.54;91.4;90.0;90.73;1.0;27.706;550;90.03;5
best/1;52;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";91.5;88.8;90.13;1.88;92.3;91.7;92.02;0.39;26.687;550;91.74;3
best/2;52;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";89.8;89.4;89.63;0.3;91.4;90.6;91.02;0.6;27.867;550;91.45;4
rand/1;151;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";80.1;78.7;79.4;0.94;85.1;84.1;84.63;0.71;29.072;550;85.13;15
rand/2;151;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";79.3;79.1;79.22;0.16;86.6;80.3;83.44;4.4;28.442;550;80.33;13
best/1;151;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";83.9;82.2;83.03;1.17;86.1;86.0;86.06;0.02;25.24;550;86.04;11
best/2;151;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";82.8;80.2;81.48;1.84;87.0;85.6;86.29;1.03;26.9;550;85.56;12
rand/1;0;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.2;89.1;89.67;0.77;100.0;100.0;100.0;0.0;50.279;550;100.0;9
rand/2;0;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";90.2;89.1;89.67;0.77;100.0;100.0;100.0;0.0;50.161;550;100.0;9
best/1;0;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";96.9;95.7;96.29;0.91;100.0;98.2;99.11;1.26;47.251;550;98.22;2
best/2;0;50;10;10000043;sigma;"{""bounds"": [-6.0, 6.0], ""name"": ""sigma"", ""threshold"": 0.5}";94.6;93.5;94.02;0.77;100.0;100.0;100.0;0.0;47.393;550;100.0;5
