Case_ID;Dataset_ID;Swarm_Size;W;C1;C2;Vmax;Generations_number;Seed;Evaluator;Fitness;Alpha;CV_Folds;NBPSO_Best;NBPSO_Worst;NBPSO_Avg;NBPSO_Std;NBPSO_Wall_Time_Avg(s);NBPSO_CPU_Time_Avg(s);NBPSO_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
55;174;100;0.729;1.494;1.494;4.0;100;42;knn;error;0.5;5;89.7;82.1;86.41;2.43;173.475;157.28;10100.0;82.05;7;10.3
55;174;100;0.729;1.494;1.494;4.0;100;42;svm;error;0.5;5;94.9;92.3;94.1;1.24;230.837;209.428;10100.0;94.87;7;9.9
56;174;50;0.729;1.494;1.494;4.0;200;42;svm;error;0.5;5;94.9;89.7;92.56;1.46;222.807;204.05;10050.0;92.31;4;8.6
56;174;50;0.729;1.494;1.494;4.0;200;42;knn;error;0.5;5;89.7;82.1;86.67;3.38;167.481;154.755;10050.0;87.18;12;9.9
57;174;20;0.729;1.494;1.494;4.0;500;42;svm;error;0.5;5;94.9;89.7;93.08;1.73;222.232;205.673;10020.0;94.87;9;9.4
57;174;20;0.729;1.494;1.494;4.0;500;42;knn;error;0.5;5;89.7;82.1;87.18;3.63;167.564;155.361;10020.0;87.18;13;10.5
55;17;100;0.729;1.494;1.494;4.0;100;42;svm;error;0.5;5;98.2;94.7;97.02;0.94;306.456;283.875;10100.0;97.37;16;15.2
55;17;100;0.729;1.494;1.494;4.0;100;42;knn;error;0.5;5;95.6;91.2;94.3;1.67;201.001;185.383;10100.0;94.74;19;14.8
56;17;50;0.729;1.494;1.494;4.0;200;42;svm;error;0.5;5;98.2;95.6;96.93;0.95;306.295;282.445;10050.0;96.49;11;14.6
56;17;50;0.729;1.494;1.494;4.0;200;42;knn;error;0.5;5;95.6;93.0;94.47;1.1;198.506;183.338;10050.0;94.74;17;15.4
57;17;20;0.729;1.494;1.494;4.0;500;42;svm;error;0.5;5;98.2;94.7;97.19;1.23;305.583;282.995;10020.0;97.37;12;14.7
57;17;20;0.729;1.494;1.494;4.0;500;42;knn;error;0.5;5;95.6;91.2;93.68;1.64;198.832;184.336;10020.0;95.61;15;13.9
55;52;100;0.729;1.494;1.494;4.0;100;42;svm;error;0.5;5;98.6;94.4;95.92;1.23;281.917;260.722;10100.0;94.37;15;17.1
55;52;100;0.729;1.494;1.494;4.0;100;42;knn;error;0.5;5;94.4;85.9;89.15;2.9;188.263;174.28;10100.0;85.92;11;10.5
56;52;50;0.729;1.494;1.494;4.0;200;42;svm;error;0.5;5;97.2;94.4;95.49;0.89;281.883;261.264;10050.0;95.77;15;17.6
56;52;50;0.729;1.494;1.494;4.0;200;42;knn;error;0.5;5;94.4;87.3;90.7;2.12;187.06;173.192;10050.0;91.55;7;10.1
57;52;20;0.729;1.494;1.494;4.0;500;42;svm;error;0.5;5;98.6;94.4;95.77;1.33;279.515;257.977;10020.0;95.77;16;16.1
57;52;20;0.729;1.494;1.494;4.0;500;42;knn;error;0.5;5;94.4;88.7;90.56;1.76;189.279;174.864;10020.0;94.37;10;11.5
55;151;100;0.729;1.494;1.494;4.0;100;42;svm;error;0.5;5;90.5;81.0;87.62;2.93;283.777;262.03;10100.0;88.1;25;25.8
55;151;100;0.729;1.494;1.494;4.0;100;42;knn;error;0.5;5;85.7;73.8;79.52;4.08;188.604;174.839;10100.0;80.95;24;28.4
56;151;50;0.729;1.494;1.494;4.0;200;42;svm;error;0.5;5;88.1;81.0;85.24;2.19;280.759;261.233;10050.0;85.71;26;25.4
56;151;50;0.729;1.494;1.494;4.0;200;42;knn;error;0.5;5;85.7;71.4;77.62;4.23;187.203;174.219;10050.0;76.19;29;28.8
57;151;20;0.729;1.494;1.494;4.0;500;42;svm;error;0.5;5;90.5;78.6;85.48;3.8;279.939;261.156;10020.0;90.48;31;27.2
57;151;20;0.729;1.494;1.494;4.0;500;42;knn;error;0.5;5;85.7;73.8;80.24;3.38;181.115;170.406;10020.0;83.33;31;30.0
