Case_ID,Dataset_ID,Swarm_Size,W,W_Max,W_Min,C1,C2,Vmax,Generations_number,Seed,Evaluator,Fitness,Alpha,CV_Folds,NBPSO_Best,NBPSO_Worst,NBPSO_Avg,NBPSO_Std,NBPSO_Wall_Time_Avg(s),NBPSO_CPU_Time_Avg(s),NBPSO_NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
58,17,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,knn,error,0.5,5,95.6,91.2,93.86,1.76,255.807,180.038,10000,95.61,20,15.5
58,17,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,svm,error,0.5,5,98.2,93.9,96.32,1.46,400.39,280.266,10000,98.25,18,15.0
58,52,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,knn,error,0.5,5,95.8,88.7,92.54,2.36,249.212,169.866,10000,95.77,11,9.5
58,52,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,svm,error,0.5,5,98.6,94.4,96.34,1.57,366.839,254.936,10000,98.59,19,15.7
58,151,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,knn,error,0.5,5,90.5,71.4,79.29,5.22,229.409,170.672,10000,90.48,33,28.0
58,151,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,svm,error,0.5,5,90.5,81.0,86.67,3.4,328.947,257.12,10000,90.48,28,24.7
58,174,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,knn,error,0.5,5,87.2,82.1,85.64,2.35,222.757,154.588,10000,87.18,14,11.4
58,174,100,0.729,0.0,0.0,1.9,1.0,4.0,100,42,svm,error,0.5,5,97.4,92.3,94.1,1.64,288.13,204.905,10000,97.44,11,9.3
59,17,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,knn,error,0.5,5,95.6,91.2,94.56,1.35,265.03,177.909,10000,95.61,18,15.0
59,17,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,svm,error,0.5,5,97.4,93.9,96.84,1.05,400.803,281.422,10000,97.37,22,16.9
59,52,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,knn,error,0.5,5,93.0,84.5,89.15,2.75,266.764,171.909,10000,92.96,12,10.1
59,52,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,svm,error,0.5,5,97.2,94.4,95.35,0.9,391.475,255.912,10000,97.18,21,16.3
59,151,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,knn,error,0.5,5,85.7,73.8,79.29,3.7,220.908,169.489,10000,85.71,36,29.3
59,151,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,svm,error,0.5,5,88.1,81.0,84.29,2.18,344.399,256.766,10000,88.1,32,28.4
59,174,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,knn,error,0.5,5,89.7,71.8,84.1,5.11,228.231,151.469,10000,89.74,11,8.9
59,174,100,0.729,0.0,0.0,1.0,1.9,4.0,100,42,svm,error,0.5,5,94.9,89.7,93.33,1.7,288.88,206.656,10000,94.87,15,10.4
60,17,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,knn,error,0.5,5,95.6,91.2,94.56,1.16,254.719,181.061,10000,95.61,21,15.0
60,17,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,svm,error,0.5,5,98.2,94.7,96.67,0.95,396.971,279.034,10000,98.25,18,15.7
60,52,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,knn,error,0.5,5,95.8,85.9,90.7,3.16,235.938,166.611,10000,95.77,11,8.7
60,52,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,svm,error,0.5,5,98.6,94.4,96.2,1.27,371.479,255.386,10000,98.59,20,16.4
60,151,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,knn,error,0.5,5,88.1,73.8,79.29,3.99,194.816,164.864,10000,88.1,34,27.9
60,151,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,svm,error,0.5,5,92.9,83.3,86.9,2.66,334.173,256.02,10000,92.86,32,26.2
60,174,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,knn,error,0.5,5,89.7,82.1,85.38,2.82,240.589,153.583,10000,89.74,15,11.3
60,174,100,0.729,0.0,0.0,1.0,1.0,4.0,100,42,svm,error,0.5,5,97.4,92.3,94.1,1.64,295.847,203.881,10000,97.44,11,9.4
