Case_ID;Dataset_ID;Initial_Temp;Cooling_Rate;Total_Evals;Evaluator;Fitness;Alpha;CV_Folds;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Wall_Time_Avg(s);SA_CPU_Time_Avg(s);SA_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
1;174;100;0.99;10000;svm;error;0.5;5;94.9;89.7;93.59;1.81;302.265;219.073;10000.0;94.87;11;9.1
1;174;100;0.99;10000;knn;error;0.5;5;89.7;82.1;86.41;2.43;242.997;168.77;10000.0;87.18;11;9.6
2;174;1000;0.99;10000;svm;error;0.5;5;94.9;89.7;93.08;1.73;294.599;215.689;10000.0;92.31;4;9.6
2;174;1000;0.99;10000;knn;error;0.5;5;87.2;82.1;85.13;2.65;246.008;167.955;10000.0;87.18;11;9.5
3;174;10000;0.99;10000;svm;error;0.5;5;94.9;89.7;93.59;1.81;321.556;218.45;10000.0;94.87;11;9.8
3;174;10000;0.99;10000;knn;error;0.5;5;87.2;82.1;85.13;2.65;261.599;164.341;10000.0;87.18;15;11.2
1;17;100;0.99;10000;svm;error;0.5;5;98.2;93.9;96.4;1.52;451.067;297.741;10000.0;94.74;15;14.6
1;17;100;0.99;10000;knn;error;0.5;5;95.6;91.2;93.6;1.6;294.855;196.908;10000.0;94.74;15;14.6
2;17;1000;0.99;10000;svm;error;0.5;5;98.2;94.7;97.11;1.31;418.914;309.913;10000.0;97.37;11;15.0
2;17;1000;0.99;10000;knn;error;0.5;5;95.6;91.2;93.51;1.99;259.301;196.939;10000.0;91.23;13;14.9
3;17;10000;0.99;10000;svm;error;0.5;5;98.2;96.5;97.72;0.61;404.548;292.714;10000.0;97.37;14;15.2
3;17;10000;0.99;10000;knn;error;0.5;5;95.6;91.2;94.04;1.79;278.301;188.356;10000.0;91.23;14;15.0
1;52;100;0.99;10000;svm;error;0.5;5;98.6;94.4;96.2;1.49;369.183;272.344;10000.0;94.37;14;15.4
1;52;100;0.99;10000;knn;error;0.5;5;91.5;85.9;89.72;1.88;238.445;185.23;10000.0;91.55;10;10.9
2;52;1000;0.99;10000;svm;error;0.5;5;97.2;94.4;95.77;0.94;354.42;269.916;10000.0;97.18;15;14.5
2;52;1000;0.99;10000;knn;error;0.5;5;93.0;83.1;88.59;3.15;244.035;182.239;10000.0;83.1;13;12.5
3;52;10000;0.99;10000;svm;error;0.5;5;97.2;93.0;95.21;1.19;344.606;275.886;10000.0;95.77;13;16.4
3;52;10000;0.99;10000;knn;error;0.5;5;95.8;87.3;90.85;2.68;221.225;184.227;10000.0;95.77;12;10.4
1;151;100;0.99;10000;svm;error;0.5;5;90.5;81.0;84.29;3.58;340.382;282.1;10000.0;80.95;25;26.4
1;151;100;0.99;10000;knn;error;0.5;5;83.3;66.7;77.86;4.63;235.443;191.144;10000.0;80.95;30;30.2
2;151;1000;0.99;10000;svm;error;0.5;5;90.5;81.0;86.43;3.56;344.478;270.178;10000.0;90.48;28;26.4
2;151;1000;0.99;10000;knn;error;0.5;5;83.3;69.0;76.43;4.82;256.439;181.13;10000.0;76.19;25;27.3
3;151;10000;0.99;10000;svm;error;0.5;5;88.1;81.0;84.76;3.01;360.221;271.155;10000.0;85.71;26;26.9
3;151;10000;0.99;10000;knn;error;0.5;5;81.0;73.8;78.1;2.46;251.702;183.147;10000.0;76.19;28;29.9
1;0;100;0.99;10000;svm;error;0.5;5;100.0;100.0;100.0;0.0;535.907;456.195;10000.0;100.0;14;15.4
1;0;100;0.99;10000;knn;error;0.5;5;100.0;100.0;100.0;0.0;850.272;746.016;10000.0;100.0;13;14.5
2;0;1000;0.99;10000;svm;error;0.5;5;100.0;100.0;100.0;0.0;537.66;460.908;10000.0;100.0;15;16.4
2;0;1000;0.99;10000;knn;error;0.5;5;100.0;100.0;100.0;0.0;943.266;752.222;10000.0;100.0;16;14.4
3;0;10000;0.99;10000;svm;error;0.5;5;100.0;100.0;100.0;0.0;547.758;458.358;10000.0;100.0;10;14.5
3;0;10000;0.99;10000;knn;error;0.5;5;100.0;100.0;100.0;0.0;747.351;703.636;10000.0;100.0;17;14.9
