Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
31;174;best/1;50;200;42;am;svm;error;0.5;5;92.3;84.6;90.26;3.15;223.387;210.247;10050.0;92.31;4;4.0
31;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.92;2.82;162.382;153.064;10050.0;87.18;11;10.4
32;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.28;3.86;223.265;210.281;10050.0;92.31;4;5.6
32;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;85.9;2.77;161.466;152.202;10050.0;87.18;10;9.7
33;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;89.7;92.31;2.42;223.618;210.736;10050.0;92.31;3;5.9
33;174;best/1;50;200;42;am;knn;error;0.5;5;87.2;82.1;85.13;2.65;164.433;153.816;10050.0;87.18;9;10.3
34;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.28;3.24;240.636;215.881;10050.0;84.62;3;5.2
34;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.41;2.43;187.415;160.762;10050.0;87.18;13;10.8
35;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;89.74;3.82;252.219;221.464;10050.0;92.31;4;4.5
35;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.92;1.89;178.558;160.114;10050.0;87.18;13;9.7
36;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.03;4.05;240.696;218.011;10050.0;84.62;3;5.7
36;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;85.64;3.24;171.562;155.697;10050.0;82.05;9;9.1
37;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.03;4.05;233.706;214.345;10050.0;84.62;3;5.7
37;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;87.18;2.09;169.317;155.358;10050.0;87.18;12;9.6
38;174;best/1;50;200;42;am;svm;error;0.5;5;92.3;84.6;90.0;3.72;228.103;212.234;10050.0;84.62;3;3.8
38;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;84.87;3.07;162.415;152.519;10050.0;82.05;7;9.0
39;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.03;3.68;225.408;210.412;10050.0;84.62;3;6.1
39;174;best/1;50;200;42;am;knn;error;0.5;5;87.2;82.1;84.62;2.7;163.212;152.325;10050.0;82.05;7;10.1
40;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.79;3.38;225.639;210.564;10050.0;84.62;3;6.0
40;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;85.9;2.77;162.523;151.653;10050.0;87.18;12;10.3
41;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;90.51;3.43;226.044;211.233;10050.0;84.62;3;4.1
41;174;best/1;50;200;42;am;knn;error;0.5;5;87.2;82.1;85.13;2.65;162.359;151.566;10050.0;87.18;8;10.0
42;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;82.1;91.54;3.64;225.661;210.578;10050.0;92.31;3;5.4
42;174;best/1;50;200;42;am;knn;error;0.5;5;87.2;82.1;85.13;2.65;162.052;151.552;10050.0;82.05;9;9.6
31;17;best/1;50;200;42;am;svm;error;0.5;5;97.4;94.7;96.14;0.94;306.708;287.902;10050.0;95.61;19;17.1
31;17;best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;93.51;1.81;189.37;178.059;10050.0;94.74;15;13.8
32;17;best/1;50;200;42;am;svm;error;0.5;5;98.2;93.9;96.32;1.23;308.606;290.277;10050.0;95.61;20;17.4
32;17;best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;93.95;1.73;189.305;177.892;10050.0;92.11;16;17.3
33;17;best/1;50;200;42;am;svm;error;0.5;5;98.2;95.6;97.28;0.97;309.255;290.636;10050.0;98.25;15;17.1
33;17;best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;93.25;1.99;188.944;178.109;10050.0;91.23;13;16.0
34;17;best/1;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.75;1.17;308.947;290.728;10050.0;98.25;19;15.9
34;17;best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;94.12;1.55;189.362;177.667;10050.0;95.61;21;14.6
35;17;best/1;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.93;1.19;307.331;288.997;10050.0;97.37;14;16.1
35;17;best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;94.74;1.31;188.976;177.745;10050.0;94.74;21;17.7
