Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
1;174;rand/1;50;200;42;sigma;svm;error;0.5;5;97.4;92.3;94.36;1.62;265.593;206.53;10050.0;94.87;11;9.8
1;174;rand/1;50;200;42;sigma;knn;error;0.5;5;87.2;82.1;85.64;2.48;207.169;154.997;10050.0;87.18;8;10.0
2;174;rand/2;50;200;42;sigma;svm;error;0.5;5;97.4;92.3;94.1;1.73;278.338;207.62;10050.0;92.31;3;9.0
2;174;rand/2;50;200;42;sigma;knn;error;0.5;5;87.2;82.1;86.15;2.16;227.512;154.611;10050.0;87.18;10;10.5
3;174;best/1;50;200;42;sigma;svm;error;0.5;5;94.9;92.3;93.85;1.32;287.929;207.478;10050.0;94.87;11;10.3
3;174;best/1;50;200;42;sigma;knn;error;0.5;5;87.2;82.1;85.13;2.65;236.664;155.356;10050.0;87.18;11;11.2
4;174;best/2;50;200;42;sigma;svm;error;0.5;5;94.9;92.3;94.62;0.81;334.863;208.123;10050.0;94.87;11;10.4
4;174;best/2;50;200;42;sigma;knn;error;0.5;5;89.7;82.1;85.38;2.97;258.112;156.055;10050.0;87.18;12;10.3
5;174;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;97.4;89.7;93.33;2.16;318.433;210.242;10050.0;92.31;11;9.6
5;174;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;87.2;82.1;85.64;2.48;232.254;157.186;10050.0;82.05;10;10.6
6;174;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;97.4;92.3;95.38;1.62;300.955;210.355;10050.0;97.44;9;10.1
6;174;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;87.2;87.2;87.18;0.0;244.152;157.97;10050.0;87.18;11;11.0
17;174;rand/1;50;200;42;am;svm;error;0.5;5;94.9;89.7;93.33;1.79;327.133;212.508;10050.0;94.87;4;5.7
17;174;rand/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.67;2.65;263.813;157.67;10050.0;87.18;11;10.5
18;174;rand/2;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.79;3.38;386.269;216.403;10050.0;84.62;3;6.0
18;174;rand/2;50;200;42;am;knn;error;0.5;5;89.7;82.1;87.18;2.09;280.99;156.023;10050.0;87.18;14;10.1
19;174;best/1;50;200;42;am;svm;error;0.5;5;94.9;84.6;91.03;4.05;399.673;215.173;10050.0;84.62;3;5.7
19;174;best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;87.18;2.09;271.135;154.547;10050.0;87.18;11;9.7
20;174;best/2;50;200;42;am;svm;error;0.5;5;92.3;84.6;90.0;3.07;348.659;211.847;10050.0;84.62;3;5.0
20;174;best/2;50;200;42;am;knn;error;0.5;5;89.7;82.1;86.92;1.89;226.399;152.322;10050.0;82.05;6;10.1
21;174;current-to-rand/1;50;200;42;am;svm;error;0.5;5;97.4;84.6;90.0;5.05;343.088;211.594;10050.0;84.62;3;6.2
21;174;current-to-rand/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;87.18;2.09;234.525;153.778;10050.0;87.18;14;10.9
22;174;current-to-best/1;50;200;42;am;svm;error;0.5;5;97.4;84.6;91.03;4.72;337.414;210.486;10050.0;84.62;3;5.1
22;174;current-to-best/1;50;200;42;am;knn;error;0.5;5;89.7;82.1;84.87;3.07;223.622;151.642;10050.0;82.05;10;10.3
1;17;rand/1;50;200;42;sigma;knn;error;0.5;5;95.6;91.2;93.86;1.85;241.975;179.811;10050.0;94.74;18;15.1
2;17;rand/2;50;200;42;sigma;svm;error;0.5;5;98.2;93.9;96.58;1.46;383.906;282.845;10050.0;97.37;16;16.1
2;17;rand/2;50;200;42;sigma;knn;error;0.5;5;95.6;91.2;94.3;1.67;251.617;179.938;10050.0;91.23;10;15.0
3;17;best/1;50;200;42;sigma;svm;error;0.5;5;98.2;95.6;97.02;1.11;389.257;282.534;10050.0;98.25;17;16.1
3;17;best/1;50;200;42;sigma;knn;error;0.5;5;94.7;91.2;93.68;1.69;261.134;179.508;10050.0;94.74;19;15.4
4;17;best/2;50;200;42;sigma;svm;error;0.5;5;97.4;96.5;96.93;0.46;394.693;282.856;10050.0;97.37;13;14.2
4;17;best/2;50;200;42;sigma;knn;error;0.5;5;95.6;91.2;93.42;1.91;243.175;179.561;10050.0;91.23;8;13.7
5;17;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;99.1;94.7;97.11;1.49;411.614;283.791;10050.0;97.37;16;16.0
5;17;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;95.6;91.2;94.39;1.71;245.342;179.4;10050.0;91.23;15;15.2
6;17;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;98.2;95.6;96.93;0.75;399.471;284.15;10050.0;96.49;16;15.0
6;17;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;95.6;91.2;94.39;1.71;251.185;179.464;10050.0;94.74;17;15.1
17;17;rand/1;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.32;1.29;405.697;289.92;10050.0;98.25;12;15.5
17;17;rand/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;93.25;1.99;254.957;177.314;10050.0;91.23;6;11.8
18;17;rand/2;50;200;42;am;svm;error;0.5;5;98.2;94.7;97.11;1.24;400.205;291.669;10050.0;98.25;17;17.9
18;17;rand/2;50;200;42;am;knn;error;0.5;5;95.6;91.2;94.39;1.71;247.124;177.233;10050.0;94.74;23;15.1
19;17;best/1;50;200;42;am;svm;error;0.5;5;98.2;95.6;96.75;0.93;384.546;290.144;10050.0;97.37;15;17.1
19;17;best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;93.42;1.91;252.975;176.55;10050.0;94.74;21;14.1
20;17;best/2;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.67;1.08;399.581;292.308;10050.0;97.37;14;14.8
20;17;best/2;50;200;42;am;knn;error;0.5;5;95.6;91.2;94.3;1.67;247.142;176.456;10050.0;95.61;15;15.7
21;17;current-to-rand/1;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.84;1.25;407.178;287.438;10050.0;97.37;15;17.3
21;17;current-to-rand/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;93.86;1.85;246.094;176.894;10050.0;94.74;19;16.5
22;17;current-to-best/1;50;200;42;am;svm;error;0.5;5;98.2;94.7;96.4;1.46;394.195;287.536;10050.0;94.74;19;15.7
22;17;current-to-best/1;50;200;42;am;knn;error;0.5;5;95.6;91.2;94.12;2.03;228.808;177.019;10050.0;91.23;8;13.1
1;52;rand/1;50;200;42;sigma;svm;error;0.5;5;98.6;93.0;96.34;1.78;353.202;257.148;10050.0;95.77;14;16.4
1;52;rand/1;50;200;42;sigma;knn;error;0.5;5;95.8;84.5;88.73;3.51;233.357;167.648;10050.0;85.92;10;12.1
2;52;rand/2;50;200;42;sigma;svm;error;0.5;5;98.6;94.4;96.2;1.34;354.441;257.245;10050.0;95.77;18;17.4
2;52;rand/2;50;200;42;sigma;knn;error;0.5;5;93.0;90.1;91.55;1.33;237.068;169.653;10050.0;90.14;12;11.4
3;52;best/1;50;200;42;sigma;svm;error;0.5;5;97.2;94.4;95.49;1.29;366.539;256.844;10050.0;94.37;16;15.9
3;52;best/1;50;200;42;sigma;knn;error;0.5;5;97.2;83.1;92.54;4.04;227.811;169.598;10050.0;92.96;10;11.2
4;52;best/2;50;200;42;sigma;svm;error;0.5;5;98.6;93.0;96.2;2.21;344.752;256.83;10050.0;98.59;14;16.4
4;52;best/2;50;200;42;sigma;knn;error;0.5;5;94.4;85.9;90.14;3.39;242.481;169.981;10050.0;94.37;8;10.9
5;52;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;97.2;93.0;95.92;1.23;352.875;257.486;10050.0;95.77;16;15.7
5;52;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;94.4;87.3;90.85;2.02;227.596;168.131;10050.0;91.55;8;12.0
6;52;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;98.6;94.4;96.34;1.19;356.391;257.039;10050.0;95.77;18;16.9
6;52;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;94.4;85.9;90.28;3.41;246.533;169.792;10050.0;88.73;10;11.5
17;52;rand/1;50;200;42;am;svm;error;0.5;5;97.2;94.4;95.63;1.23;353.355;259.559;10050.0;94.37;14;15.6
17;52;rand/1;50;200;42;am;knn;error;0.5;5;95.8;87.3;92.39;2.67;235.717;170.308;10050.0;87.32;4;4.8
18;52;rand/2;50;200;42;am;svm;error;0.5;5;97.2;95.8;96.06;0.59;363.989;261.086;10050.0;95.77;10;15.0
18;52;rand/2;50;200;42;am;knn;error;0.5;5;95.8;87.3;92.39;2.41;227.104;169.241;10050.0;94.37;6;6.6
19;52;best/1;50;200;42;am;svm;error;0.5;5;98.6;93.0;96.34;1.51;362.734;261.603;10050.0;95.77;17;18.3
19;52;best/1;50;200;42;am;knn;error;0.5;5;94.4;83.1;90.85;3.65;228.443;167.45;10050.0;91.55;7;5.2
20;52;best/2;50;200;42;am;svm;error;0.5;5;98.6;94.4;97.04;1.23;360.692;261.244;10050.0;95.77;17;16.7
20;52;best/2;50;200;42;am;knn;error;0.5;5;95.8;87.3;92.11;2.67;245.893;168.289;10050.0;95.77;6;4.9
21;52;current-to-rand/1;50;200;42;am;svm;error;0.5;5;97.2;90.1;95.07;2.23;344.311;259.625;10050.0;95.77;16;16.2
21;52;current-to-rand/1;50;200;42;am;knn;error;0.5;5;95.8;87.3;91.69;3.22;233.222;170.158;10050.0;87.32;4;5.2
22;52;current-to-best/1;50;200;42;am;svm;error;0.5;5;98.6;94.4;96.48;1.37;357.057;259.317;10050.0;97.18;15;16.6
22;52;current-to-best/1;50;200;42;am;knn;error;0.5;5;94.4;85.9;90.28;2.15;232.962;168.58;10050.0;90.14;5;5.7
1;151;rand/1;50;200;42;sigma;svm;error;0.5;5;90.5;78.6;84.76;3.21;370.734;266.073;10050.0;90.48;23;27.5
1;151;rand/1;50;200;42;sigma;knn;error;0.5;5;88.1;71.4;79.52;6.17;242.049;174.953;10050.0;85.71;30;29.7
2;151;rand/2;50;200;42;sigma;svm;error;0.5;5;88.1;81.0;85.0;2.76;371.828;265.284;10050.0;83.33;27;30.9
2;151;rand/2;50;200;42;sigma;knn;error;0.5;5;85.7;69.0;79.52;5.04;248.648;174.861;10050.0;78.57;31;28.8
3;151;best/1;50;200;42;sigma;svm;error;0.5;5;88.1;81.0;84.29;2.79;363.411;265.811;10050.0;85.71;25;27.8
3;151;best/1;50;200;42;sigma;knn;error;0.5;5;83.3;69.0;79.52;4.79;234.903;174.264;10050.0;78.57;30;30.4
4;151;best/2;50;200;42;sigma;svm;error;0.5;5;88.1;78.6;83.57;2.62;368.744;265.416;10050.0;83.33;28;29.2
4;151;best/2;50;200;42;sigma;knn;error;0.5;5;83.3;66.7;74.76;5.75;246.219;174.531;10050.0;71.43;26;29.9
5;151;current-to-rand/1;50;200;42;sigma;svm;error;0.5;5;90.5;76.2;84.52;4.24;379.506;266.114;10050.0;85.71;26;30.1
5;151;current-to-rand/1;50;200;42;sigma;knn;error;0.5;5;83.3;73.8;79.52;2.79;250.563;175.331;10050.0;80.95;24;28.9
6;151;current-to-best/1;50;200;42;sigma;svm;error;0.5;5;90.5;81.0;85.48;2.85;363.989;265.072;10050.0;83.33;25;27.5
6;151;current-to-best/1;50;200;42;sigma;knn;error;0.5;5;90.5;69.0;78.81;6.78;243.828;174.992;10050.0;83.33;28;28.7
17;151;rand/1;50;200;42;am;svm;error;0.5;5;92.9;71.4;82.62;5.94;362.734;265.094;10050.0;78.57;22;24.1
17;151;rand/1;50;200;42;am;knn;error;0.5;5;85.7;73.8;80.71;3.96;251.463;178.183;10050.0;83.33;15;27.8
18;151;rand/2;50;200;42;am;svm;error;0.5;5;88.1;78.6;82.86;3.13;363.339;266.28;10050.0;88.1;18;25.5
18;151;rand/2;50;200;42;am;knn;error;0.5;5;81.0;71.4;76.19;3.89;247.157;179.022;10050.0;71.43;25;30.8
19;151;best/1;50;200;42;am;svm;error;0.5;5;88.1;76.2;83.1;4.27;367.013;268.556;10050.0;85.71;33;26.6
19;151;best/1;50;200;42;am;knn;error;0.5;5;90.5;71.4;79.52;6.27;252.149;181.091;10050.0;80.95;19;27.2
20;151;best/2;50;200;42;am;svm;error;0.5;5;85.7;73.8;82.62;3.56;355.513;268.734;10050.0;85.71;26;29.2
20;151;best/2;50;200;42;am;knn;error;0.5;5;85.7;73.8;78.81;4.55;262.182;180.88;10050.0;76.19;22;27.6
21;151;current-to-rand/1;50;200;42;am;svm;error;0.5;5;88.1;78.6;82.38;3.4;373.87;266.527;10050.0;88.1;33;24.6
21;151;current-to-rand/1;50;200;42;am;knn;error;0.5;5;88.1;73.8;80.24;4.63;243.683;178.028;10050.0;80.95;31;28.0
22;151;current-to-best/1;50;200;42;am;svm;error;0.5;5;90.5;78.6;84.05;3.56;361.519;267.53;10050.0;85.71;27;27.4
22;151;current-to-best/1;50;200;42;am;knn;error;0.5;5;85.7;71.4;78.81;5.2;219.699;180.219;10050.0;80.95;32;23.5
