Case_ID,Dataset_ID,Strategy,Population_size,Generations_number,Seed,Decoder,Evaluator,Fitness,Alpha,CV_Folds,Best,Worst,Avg,Std,Wall_Time_Avg(s),CPU_Time_Avg(s),NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
28,17,best/1,100,100,42,am,knn,error,0.5,5,95.6,91.2,93.16,1.79,210.308,174.569,10000,95.61,22,14.9
28,17,best/1,100,100,42,am,svm,error,0.5,5,98.2,94.7,96.14,1.31,336.721,287.516,10000,98.25,20,15.6
28,174,best/1,100,100,42,am,knn,error,0.5,5,89.7,82.1,84.87,2.91,191.307,152.009,10000,89.74,14,10.4
28,174,best/1,100,100,42,am,svm,error,0.5,5,92.3,84.6,90.77,3.08,269.725,210.756,10000,92.31,12,4.8
29,17,best/1,20,500,42,am,knn,error,0.5,5,95.6,94.7,95.26,0.43,212.272,173.592,10000,95.61,19,15.1
29,17,best/1,20,500,42,am,svm,error,0.5,5,98.2,95.6,96.75,0.97,347.27,287.236,10000,98.25,22,18.2
29,174,best/1,20,500,42,am,knn,error,0.5,5,89.7,82.1,85.64,3.08,190.206,151.122,10000,89.74,13,9.6
29,174,best/1,20,500,42,am,svm,error,0.5,5,94.9,84.6,89.49,3.53,267.378,210.694,10000,94.87,13,4.6
30,17,best/1,10,1000,42,am,knn,error,0.5,5,94.7,91.2,94.04,1.4,202.603,175.119,10000,94.74,20,16.7
30,17,best/1,10,1000,42,am,svm,error,0.5,5,98.2,94.7,96.49,1.04,341.567,288.78,10000,98.25,24,17.8
30,174,best/1,10,1000,42,am,knn,error,0.5,5,89.7,82.1,86.15,2.86,181.775,150.23,10000,89.74,15,9.5
30,174,best/1,10,1000,42,am,svm,error,0.5,5,94.9,84.6,91.28,3.84,249.029,207.475,10000,94.87,13,6.8
7,17,best/1,200,50,42,sigma,knn,error,0.5,5,95.6,91.2,94.04,1.88,229.93,183.216,10000,95.61,18,15.1
7,17,best/1,200,50,42,sigma,svm,error,0.5,5,98.2,94.7,96.58,1.27,354.229,286.856,10000,98.25,18,16.0
7,174,best/1,200,50,42,sigma,knn,error,0.5,5,87.2,82.1,85.64,2.35,186.015,154.483,10000,87.18,13,11.1
7,174,best/1,200,50,42,sigma,svm,error,0.5,5,94.9,89.7,93.59,1.72,254.429,208.064,10000,94.87,13,10.7
8,17,best/1,100,100,42,sigma,knn,error,0.5,5,95.6,91.2,95.0,1.3,220.277,179.27,10000,95.61,19,16.4
8,17,best/1,100,100,42,sigma,svm,error,0.5,5,98.2,94.7,97.02,1.25,354.083,283.859,10000,98.25,21,16.3
8,174,best/1,100,100,42,sigma,knn,error,0.5,5,87.2,82.1,85.13,2.51,181.883,152.003,10000,87.18,12,10.6
8,174,best/1,100,100,42,sigma,svm,error,0.5,5,94.9,84.6,92.56,3.34,248.338,204.9,10000,94.87,12,8.5
9,17,best/1,20,500,42,sigma,knn,error,0.5,5,95.6,91.2,94.3,1.58,211.604,176.439,10000,95.61,19,15.0
9,17,best/1,20,500,42,sigma,svm,error,0.5,5,98.2,94.7,96.67,1.1,336.077,279.884,10000,98.25,19,16.2
9,174,best/1,20,500,42,sigma,knn,error,0.5,5,87.2,82.1,85.64,2.35,179.378,151.302,10000,87.18,13,10.2
9,174,best/1,20,500,42,sigma,svm,error,0.5,5,94.9,92.3,94.1,1.18,241.229,203.362,10000,94.87,14,11.1
999,17,best/1,200,50,42,am,knn,error,0.5,5,95.6,91.2,94.21,1.53,201.594,175.047,10000,95.61,21,16.4
999,17,best/1,200,50,42,am,svm,error,0.5,5,98.2,95.6,97.19,0.86,336.626,288.93,10000,98.25,20,16.6
999,52,best/1,200,50,42,am,svm,error,0.5,5,97.2,94.4,95.77,1.07,270.831,257.328,10000,97.18,24,19.14
999,174,best/1,200,50,42,am,knn,error,0.5,5,87.2,82.1,85.13,2.51,181.799,150.506,10000,87.18,12,9.3
999,174,best/1,200,50,42,am,svm,error,0.5,5,94.9,84.6,90.0,3.71,253.491,208.059,10000,94.87,14,5.0
