Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
7;174;best/1;200;50;42;sigma;svm;error;0.5;5;94.9;89.7;93.59;1.81;254.429;208.064;10200.0;94.87;11;10.7
7;174;best/1;200;50;42;sigma;knn;error;0.5;5;87.2;82.1;85.64;2.48;186.015;154.483;10200.0;87.18;11;11.1
8;174;best/1;100;100;42;sigma;svm;error;0.5;5;94.9;84.6;92.56;3.51;248.338;204.9;10100.0;84.62;3;8.5
8;174;best/1;100;100;42;sigma;knn;error;0.5;5;87.2;82.1;85.13;2.65;181.883;152.003;10100.0;87.18;11;10.6
9;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;92.3;94.1;1.24;241.229;203.363;10020.0;94.87;11;11.1
9;174;best/1;20;500;42;sigma;knn;error;0.5;5;87.2;82.1;85.64;2.48;179.378;151.302;10020.0;82.05;10;10.2
999;174;best/1;200;50;42;am;svm;error;0.5;5;94.9;84.6;90.0;3.91;253.491;208.059;10200.0;92.31;4;5.0
999;174;best/1;200;50;42;am;knn;error;0.5;5;87.2;82.1;85.13;2.65;181.799;150.506;10200.0;82.05;7;9.3
28;174;best/1;100;100;42;am;svm;error;0.5;5;92.3;84.6;90.77;3.24;269.725;210.756;10100.0;92.31;4;4.8
28;174;best/1;100;100;42;am;knn;error;0.5;5;89.7;82.1;84.87;3.07;191.307;152.009;10100.0;82.05;9;10.4
29;174;best/1;20;500;42;am;svm;error;0.5;5;94.9;84.6;89.49;3.72;267.378;210.694;10020.0;84.62;3;4.6
29;174;best/1;20;500;42;am;knn;error;0.5;5;89.7;82.1;85.64;3.24;190.206;151.122;10020.0;87.18;10;9.6
30;174;best/1;10;1000;42;am;svm;error;0.5;5;94.9;84.6;91.28;4.05;249.029;207.475;10010.0;84.62;3;6.8
30;174;best/1;10;1000;42;am;knn;error;0.5;5;89.7;82.1;86.15;3.01;181.775;150.23;10010.0;87.18;15;9.5
7;17;best/1;200;50;42;sigma;svm;error;0.5;5;98.2;94.7;96.58;1.34;354.229;286.856;10200.0;97.37;16;16.0
7;17;best/1;200;50;42;sigma;knn;error;0.5;5;95.6;91.2;94.04;1.97;229.93;183.216;10200.0;91.23;14;15.1
8;17;best/1;100;100;42;sigma;svm;error;0.5;5;98.2;94.7;97.02;1.32;354.083;283.859;10100.0;98.25;15;16.3
8;17;best/1;100;100;42;sigma;knn;error;0.5;5;95.6;91.2;95.0;1.37;220.277;179.27;10100.0;95.61;19;16.4
9;17;best/1;20;500;42;sigma;svm;error;0.5;5;98.2;94.7;96.67;1.15;336.077;279.884;10020.0;94.74;18;16.2
9;17;best/1;20;500;42;sigma;knn;error;0.5;5;95.6;91.2;94.3;1.67;211.604;176.439;10020.0;94.74;19;15.0
999;17;best/1;200;50;42;am;svm;error;0.5;5;98.2;95.6;97.19;0.91;336.626;288.93;10200.0;98.25;10;16.6
999;17;best/1;200;50;42;am;knn;error;0.5;5;95.6;91.2;94.21;1.61;201.594;175.047;10200.0;94.74;14;16.4
28;17;best/1;100;100;42;am;svm;error;0.5;5;98.2;94.7;96.14;1.38;336.721;287.516;10100.0;98.25;10;15.6
28;17;best/1;100;100;42;am;knn;error;0.5;5;95.6;91.2;93.16;1.89;210.308;174.569;10100.0;94.74;22;14.9
29;17;best/1;20;500;42;am;svm;error;0.5;5;98.2;95.6;96.75;1.02;347.27;287.236;10020.0;95.61;18;18.2
29;17;best/1;20;500;42;am;knn;error;0.5;5;95.6;94.7;95.26;0.45;212.272;173.592;10020.0;95.61;13;15.1
30;17;best/1;10;1000;42;am;svm;error;0.5;5;98.2;94.7;96.49;1.09;341.567;288.78;10010.0;97.37;15;17.8
30;17;best/1;10;1000;42;am;knn;error;0.5;5;94.7;91.2;94.04;1.48;202.603;175.119;10010.0;94.74;20;16.7
