Case_ID;Dataset_ID;Strategy;Population_size;Generations_number;Seed;Decoder;Evaluator;Fitness;Alpha;CV_Folds;Best;Worst;Avg;Std;Wall_Time_Avg(s);CPU_Time_Avg(s);NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
10;174;best/1;20;500;42;sigma;svm;error;0.5;5;97.4;84.6;92.05;3.91;219.522;207.052;10020.0;89.74;6;10.0
10;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;79.5;85.64;4.87;164.043;154.945;10020.0;82.05;13;11.3
11;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;84.6;91.79;2.91;217.187;205.531;10020.0;84.62;4;10.6
11;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;64.1;85.13;8.09;162.791;154.277;10020.0;87.18;11;10.3
12;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;92.31;2.09;221.394;209.158;10020.0;92.31;13;12.5
12;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;74.4;83.33;6.54;163.107;154.009;10020.0;79.49;10;10.9
13;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;92.31;2.09;218.797;207.408;10020.0;92.31;14;12.1
13;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;82.1;87.95;3.64;161.149;153.266;10020.0;82.05;7;10.8
14;174;best/1;20;500;42;sigma;svm;error;0.5;5;97.4;87.2;93.85;3.01;216.986;206.017;10020.0;89.74;5;9.3
14;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;74.4;83.85;5.93;161.821;153.936;10020.0;82.05;12;11.2
15;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;92.05;2.25;215.919;205.153;10020.0;92.31;9;11.1
15;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;79.5;84.87;4.59;162.186;153.931;10020.0;92.31;12;11.1
16;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;92.05;2.25;215.777;204.956;10020.0;92.31;9;11.1
16;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;79.5;84.87;4.59;161.988;153.852;10020.0;89.74;15;11.1
17;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;91.79;2.36;220.118;208.9;10020.0;92.31;15;13.2
17;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;79.5;87.44;4.43;162.253;153.989;10020.0;92.31;10;11.3
18;174;best/1;20;500;42;sigma;svm;error;0.5;5;97.4;87.2;93.33;2.76;216.83;206.02;10020.0;92.31;14;11.3
18;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;71.8;82.31;7.69;161.084;153.078;10020.0;71.79;12;10.5
19;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;87.2;91.79;2.91;216.246;205.683;10020.0;94.87;10;11.0
19;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;74.4;84.36;5.19;161.72;153.641;10020.0;84.62;13;10.4
20;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;89.7;92.31;2.42;212.772;202.164;10020.0;94.87;7;9.6
20;174;best/1;20;500;42;sigma;knn;error;0.5;5;94.9;79.5;86.15;5.3;162.643;154.505;10020.0;87.18;11;11.3
21;174;best/1;20;500;42;sigma;svm;error;0.5;5;94.9;84.6;90.77;3.46;216.869;205.738;10020.0;92.31;12;11.7
21;174;best/1;20;500;42;sigma;knn;error;0.5;5;92.3;74.4;85.64;5.43;161.758;153.516;10020.0;82.05;9;11.1
10;17;best/1;20;500;42;sigma;svm;error;0.5;5;98.2;95.6;96.67;1.08;295.5;280.7;10020.0;95.61;17;15.5
10;17;best/1;20;500;42;sigma;knn;error;0.5;5;95.6;90.4;92.54;1.95;188.949;179.27;10020.0;94.74;16;16.2
11;17;best/1;20;500;42;sigma;svm;error;0.5;5;98.2;93.0;96.32;1.59;295.669;280.866;10020.0;92.98;15;16.4
11;17;best/1;20;500;42;sigma;knn;error;0.5;5;95.6;89.5;92.19;2.09;186.536;177.438;10020.0;94.74;18;16.6
12;17;best/1;20;500;42;sigma;svm;error;0.5;5;97.4;95.6;96.4;0.65;297.239;282.192;10020.0;97.37;17;17.4
12;17;best/1;20;500;42;sigma;knn;error;0.5;5;94.7;90.4;92.37;1.31;188.429;178.933;10020.0;90.35;18;15.1
13;17;best/1;20;500;42;sigma;svm;error;0.5;5;97.4;93.9;96.14;1.38;295.246;280.134;10020.0;95.61;17;15.2
13;17;best/1;20;500;42;sigma;knn;error;0.5;5;94.7;89.5;92.54;1.67;189.523;179.988;10020.0;90.35;17;14.6
14;17;best/1;20;500;42;sigma;svm;error;0.5;5;98.2;93.9;96.23;1.49;296.255;281.656;10020.0;98.25;15;15.1
14;17;best/1;20;500;42;sigma;knn;error;0.5;5;95.6;86.8;91.23;2.55;188.353;178.85;10020.0;90.35;14;13.9
