Case_ID,Dataset_ID,Swarm_Size,W,W_Max,W_Min,C1,C2,Vmax,Generations_number,Seed,Evaluator,Fitness,Alpha,CV_Folds,NBPSO_Best,NBPSO_Worst,NBPSO_Avg,NBPSO_Std,NBPSO_Wall_Time_Avg(s),NBPSO_CPU_Time_Avg(s),NBPSO_NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
55,17,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,knn,error,0.5,5,95.6,91.2,94.3,1.58,201.001,185.383,10000,95.61,19,14.8
55,17,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,svm,error,0.5,5,98.2,94.7,97.02,0.9,306.456,283.875,10000,98.25,17,15.2
55,52,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,knn,error,0.5,5,94.4,85.9,89.15,2.75,188.263,174.28,10000,94.37,14,10.5
55,52,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,svm,error,0.5,5,98.6,94.4,95.92,1.17,281.917,260.722,10000,98.59,20,17.1
55,151,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,knn,error,0.5,5,85.7,73.8,79.52,3.87,188.604,174.839,10000,85.71,34,28.4
55,151,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,svm,error,0.5,5,90.5,81.0,87.62,2.78,283.777,262.03,10000,90.48,29,25.8
55,174,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,knn,error,0.5,5,89.7,82.1,86.41,2.31,173.475,157.28,10000,89.74,12,10.3
55,174,100,0.729,0.0,0.0,1.494,1.494,4.0,100,42,svm,error,0.5,5,94.9,92.3,94.1,1.18,230.837,209.428,10000,94.87,15,9.9
56,17,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,knn,error,0.5,5,95.6,93.0,94.47,1.04,198.506,183.338,10000,95.61,20,15.4
56,17,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,svm,error,0.5,5,98.2,95.6,96.93,0.9,306.295,282.445,10000,98.25,19,14.6
56,52,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,knn,error,0.5,5,94.4,87.3,90.7,2.01,187.06,173.192,10000,94.37,13,10.1
56,52,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,svm,error,0.5,5,97.2,94.4,95.49,0.85,281.883,261.264,10000,97.18,22,17.6
56,151,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,knn,error,0.5,5,85.7,71.4,77.62,4.01,187.203,174.219,10000,85.71,35,28.8
56,151,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,svm,error,0.5,5,88.1,81.0,85.24,2.08,280.759,261.233,10000,88.1,31,25.4
56,174,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,knn,error,0.5,5,89.7,82.1,86.67,3.2,167.481,154.755,10000,89.74,12,9.9
56,174,50,0.729,0.0,0.0,1.494,1.494,4.0,200,42,svm,error,0.5,5,94.9,89.7,92.56,1.38,222.807,204.05,10000,94.87,15,8.6
57,17,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,knn,error,0.5,5,95.6,91.2,93.68,1.56,198.832,184.336,10000,95.61,18,13.9
57,17,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,svm,error,0.5,5,98.2,94.7,97.19,1.16,305.583,282.995,10000,98.25,16,14.7
57,52,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,knn,error,0.5,5,94.4,88.7,90.56,1.67,189.279,174.864,10000,94.37,18,11.5
57,52,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,svm,error,0.5,5,98.6,94.4,95.77,1.26,279.515,257.977,10000,98.59,18,16.1
57,151,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,knn,error,0.5,5,85.7,73.8,80.24,3.2,181.115,170.406,10000,85.71,38,30.0
57,151,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,svm,error,0.5,5,90.5,78.6,85.48,3.6,279.939,261.156,10000,90.48,32,27.2
57,174,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,knn,error,0.5,5,89.7,82.1,87.18,3.44,167.564,155.361,10000,89.74,14,10.5
57,174,20,0.729,0.0,0.0,1.494,1.494,4.0,500,42,svm,error,0.5,5,94.9,89.7,93.08,1.64,222.232,205.673,10000,94.87,11,9.4
