Case_ID;Dataset_ID;Swarm_Size;W;C1;C2;Vmax;Generations_number;Seed;Evaluator;Fitness;Alpha;CV_Folds;NBPSO_Best;NBPSO_Worst;NBPSO_Avg;NBPSO_Std;NBPSO_Wall_Time_Avg(s);NBPSO_CPU_Time_Avg(s);NBPSO_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
58;174;100;0.729;1.9;1;4.0;100;42;svm;error;0.5;5;97.4;92.3;94.1;1.73;288.13;204.905;10100.0;92.31;4;9.3
58;174;100;0.729;1.9;1;4.0;100;42;knn;error;0.5;5;87.2;82.1;85.64;2.48;222.757;154.588;10100.0;82.05;10;11.4
59;174;100;0.729;1;1.9;4.0;100;42;svm;error;0.5;5;94.9;89.7;93.33;1.79;288.88;206.656;10100.0;94.87;7;10.4
59;174;100;0.729;1;1.9;4.0;100;42;knn;error;0.5;5;89.7;71.8;84.1;5.38;228.231;151.469;10100.0;87.18;9;8.9
60;174;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;97.4;92.3;94.1;1.73;295.847;203.881;10100.0;92.31;4;9.4
60;174;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;89.7;82.1;85.38;2.97;240.589;153.583;10100.0;87.18;12;11.3
58;17;100;0.729;1.9;1;4.0;100;42;svm;error;0.5;5;98.2;93.9;96.32;1.54;400.39;280.266;10100.0;98.25;15;15.0
58;17;100;0.729;1.9;1;4.0;100;42;knn;error;0.5;5;95.6;91.2;93.86;1.85;255.807;180.037;10100.0;91.23;15;15.5
59;17;100;0.729;1;1.9;4.0;100;42;svm;error;0.5;5;97.4;93.9;96.84;1.11;400.803;281.422;10100.0;97.37;17;16.9
59;17;100;0.729;1;1.9;4.0;100;42;knn;error;0.5;5;95.6;91.2;94.56;1.42;265.03;177.909;10100.0;94.74;18;15.0
60;17;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;98.2;94.7;96.67;1.0;396.971;279.034;10100.0;98.25;15;15.7
60;17;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;95.6;91.2;94.56;1.23;254.719;181.061;10100.0;94.74;21;15.0
58;52;100;0.729;1.9;1;4.0;100;42;svm;error;0.5;5;98.6;94.4;96.34;1.65;366.839;254.936;10100.0;94.37;14;15.7
58;52;100;0.729;1.9;1;4.0;100;42;knn;error;0.5;5;95.8;88.7;92.54;2.49;249.212;169.866;10100.0;94.37;10;9.5
59;52;100;0.729;1;1.9;4.0;100;42;svm;error;0.5;5;97.2;94.4;95.35;0.95;391.475;255.912;10100.0;95.77;14;16.3
59;52;100;0.729;1;1.9;4.0;100;42;knn;error;0.5;5;93.0;84.5;89.15;2.9;266.764;171.909;10100.0;90.14;7;10.1
60;52;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;98.6;94.4;96.2;1.34;371.479;255.386;10100.0;95.77;18;16.4
60;52;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;95.8;85.9;90.7;3.33;235.938;166.611;10100.0;85.92;11;8.7
58;151;100;0.729;1.9;1;4.0;100;42;svm;error;0.5;5;90.5;81.0;86.67;3.58;328.947;257.12;10100.0;90.48;27;24.7
58;151;100;0.729;1.9;1;4.0;100;42;knn;error;0.5;5;90.5;71.4;79.29;5.5;229.409;170.672;10100.0;78.57;33;28.0
59;151;100;0.729;1;1.9;4.0;100;42;svm;error;0.5;5;88.1;81.0;84.29;2.3;344.399;256.766;10100.0;80.95;29;28.4
59;151;100;0.729;1;1.9;4.0;100;42;knn;error;0.5;5;85.7;73.8;79.29;3.9;220.908;169.489;10100.0;73.81;29;29.3
60;151;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;92.9;83.3;86.9;2.81;334.173;256.02;10100.0;92.86;24;26.2
60;151;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;88.1;73.8;79.29;4.21;194.816;164.864;10100.0;78.57;26;27.9
