Case_ID;Dataset_ID;Swarm_Size;W;C1;C2;Vmax;Generations_number;Seed;Evaluator;Fitness;Alpha;CV_Folds;NBPSO_Best;NBPSO_Worst;NBPSO_Avg;NBPSO_Std;NBPSO_Wall_Time_Avg(s);NBPSO_CPU_Time_Avg(s);NBPSO_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
61;174;100;0.9;1;1;4.0;100;42;svm;error;0.5;5;94.9;89.7;93.33;1.79;229.711;199.836;10100.0;92.31;4;9.2
61;174;100;0.9;1;1;4.0;100;42;knn;error;0.5;5;89.7;82.1;85.38;2.97;173.976;150.628;10100.0;82.05;11;10.6
62;174;100;0.4;1;1;4.0;100;42;svm;error;0.5;5;94.9;92.3;94.1;1.24;232.532;201.798;10100.0;92.31;4;9.3
62;174;100;0.4;1;1;4.0;100;42;knn;error;0.5;5;87.2;82.1;85.13;2.65;174.67;152.062;10100.0;82.05;9;11.7
61;17;100;0.9;1;1;4.0;100;42;svm;error;0.5;5;97.4;93.9;96.49;1.24;318.408;278.855;10100.0;97.37;16;16.3
61;17;100;0.9;1;1;4.0;100;42;knn;error;0.5;5;95.6;91.2;94.56;1.23;209.095;179.883;10100.0;94.74;19;13.6
62;17;100;0.4;1;1;4.0;100;42;svm;error;0.5;5;98.2;94.7;96.75;1.1;322.079;278.608;10100.0;97.37;13;14.5
62;17;100;0.4;1;1;4.0;100;42;knn;error;0.5;5;95.6;91.2;94.65;1.27;205.944;178.191;10100.0;94.74;15;14.2
61;52;100;0.9;1;1;4.0;100;42;svm;error;0.5;5;98.6;94.4;95.77;1.33;288.361;253.636;10100.0;94.37;14;16.2
61;52;100;0.9;1;1;4.0;100;42;knn;error;0.5;5;94.4;84.5;90.56;3.7;196.903;168.456;10100.0;85.92;11;9.4
62;52;100;0.4;1;1;4.0;100;42;svm;error;0.5;5;95.8;93.0;94.93;1.19;307.581;255.708;10100.0;94.37;14;16.1
62;52;100;0.4;1;1;4.0;100;42;knn;error;0.5;5;94.4;87.3;91.97;2.58;210.901;172.637;10100.0;90.14;10;8.7
61;151;100;0.9;1;1;4.0;100;42;svm;error;0.5;5;90.5;81.0;86.67;3.01;322.467;261.455;10100.0;90.48;21;26.3
61;151;100;0.9;1;1;4.0;100;42;knn;error;0.5;5;90.5;66.7;78.1;6.72;211.139;172.877;10100.0;71.43;28;28.5
62;151;100;0.4;1;1;4.0;100;42;svm;error;0.5;5;90.5;85.7;87.86;2.08;323.099;264.92;10100.0;85.71;23;26.6
62;151;100;0.4;1;1;4.0;100;42;knn;error;0.5;5;83.3;73.8;79.05;3.13;197.736;172.455;10100.0;76.19;25;28.7
63;174;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;97.4;92.3;94.1;1.73;295.847;203.881;10100.0;92.31;4;9.4
63;174;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;89.7;82.1;85.38;2.97;240.589;153.583;10100.0;87.18;12;11.3
63;17;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;98.2;94.7;96.67;1.0;396.971;279.034;10100.0;98.25;15;15.7
63;17;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;95.6;91.2;94.56;1.23;254.719;181.061;10100.0;94.74;21;15.0
63;52;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;98.6;94.4;96.2;1.34;371.479;255.386;10100.0;95.77;18;16.4
63;52;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;95.8;85.9;90.7;3.33;235.938;166.611;10100.0;85.92;11;8.7
63;151;100;0.729;1;1;4.0;100;42;svm;error;0.5;5;92.9;83.3;86.9;2.81;334.173;256.02;10100.0;92.86;24;26.2
63;151;100;0.729;1;1;4.0;100;42;knn;error;0.5;5;88.1;73.8;79.29;4.21;194.816;164.864;10100.0;78.57;26;27.9
