Case_ID,Dataset_ID,Swarm_Size,W,W_Max,W_Min,C1,C2,Vmax,Generations_number,Seed,Evaluator,Fitness,Alpha,CV_Folds,NBPSO_Best,NBPSO_Worst,NBPSO_Avg,NBPSO_Std,NBPSO_Wall_Time_Avg(s),NBPSO_CPU_Time_Avg(s),NBPSO_NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
61,17,100,0.9,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,95.6,91.2,94.56,1.16,209.095,179.883,10000,95.61,19,13.6
61,17,100,0.9,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,97.4,93.9,96.49,1.18,318.408,278.855,10000,97.37,18,16.3
61,52,100,0.9,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,94.4,84.5,90.56,3.51,196.903,168.456,10000,94.37,12,9.4
61,52,100,0.9,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,98.6,94.4,95.77,1.26,288.361,253.636,10000,98.59,21,16.2
61,151,100,0.9,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,90.5,66.7,78.1,6.37,211.139,172.877,10000,90.48,34,28.5
61,151,100,0.9,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,90.5,81.0,86.67,2.86,322.467,261.455,10000,90.48,31,26.3
61,174,100,0.9,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,89.7,82.1,85.38,2.82,173.976,150.628,10000,89.74,12,10.6
61,174,100,0.9,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,94.9,89.7,93.33,1.7,229.711,199.836,10000,94.87,15,9.2
62,17,100,0.4,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,95.6,91.2,94.65,1.21,205.944,178.191,10000,95.61,19,14.2
62,17,100,0.4,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,98.2,94.7,96.75,1.04,322.079,278.608,10000,98.25,19,14.5
62,52,100,0.4,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,94.4,87.3,91.97,2.44,210.901,172.638,10000,94.37,12,8.7
62,52,100,0.4,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,95.8,93.0,94.93,1.13,307.581,255.708,10000,95.77,20,16.1
62,151,100,0.4,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,83.3,73.8,79.05,2.98,197.736,172.455,10000,83.33,33,28.7
62,151,100,0.4,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,90.5,85.7,87.86,1.98,323.099,264.92,10000,90.48,31,26.6
62,174,100,0.4,0.0,0.0,1,1,4.0,100,42,knn,error,0.5,5,87.2,82.1,85.13,2.51,174.67,152.062,10000,87.18,15,11.7
62,174,100,0.4,0.0,0.0,1,1,4.0,100,42,svm,error,0.5,5,94.9,92.3,94.1,1.18,232.532,201.798,10000,94.87,11,9.3
