Case_ID;Dataset_ID;Swarm_Size;W;W_Max;W_Min;C1;C2;Vmax;Generations_number;Seed;Evaluator;Fitness;Alpha;CV_Folds;NBPSO_Best;NBPSO_Worst;NBPSO_Avg;NBPSO_Std;NBPSO_Wall_Time_Avg(s);NBPSO_CPU_Time_Avg(s);NBPSO_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
63;174;100;0.0;0.9;0.5;1;1;4.0;100;42;svm;error;0.5;5;94.9;84.6;93.33;3.24;236.304;201.661;10100.0;92.31;4;9.6
63;174;100;0.0;0.9;0.5;1;1;4.0;100;42;knn;error;0.5;5;89.7;82.1;84.87;3.07;187.24;151.541;10100.0;82.05;11;10.3
64;174;100;0.0;0.9;0.4;1;1;4.0;100;42;svm;error;0.5;5;94.9;84.6;93.08;3.21;242.076;202.461;10100.0;92.31;4;9.2
64;174;100;0.0;0.9;0.4;1;1;4.0;100;42;knn;error;0.5;5;89.7;82.1;84.87;3.07;183.046;150.216;10100.0;82.05;8;10.3
65;174;100;0.0;0.9;0.2;1;1;4.0;100;42;svm;error;0.5;5;94.9;89.7;93.85;1.79;240.769;202.566;10100.0;92.31;4;9.2
65;174;100;0.0;0.9;0.2;1;1;4.0;100;42;knn;error;0.5;5;89.7;82.1;84.87;3.07;182.19;151.756;10100.0;87.18;11;10.2
63;17;100;0.0;0.9;0.5;1;1;4.0;100;42;svm;error;0.5;5;97.4;93.9;96.14;1.25;334.829;281.419;10100.0;96.49;13;15.8
63;17;100;0.0;0.9;0.5;1;1;4.0;100;42;knn;error;0.5;5;95.6;93.0;94.74;0.72;224.39;181.197;10100.0;94.74;12;14.1
64;17;100;0.0;0.9;0.4;1;1;4.0;100;42;svm;error;0.5;5;97.4;93.9;96.14;1.25;353.92;282.573;10100.0;96.49;16;16.3
64;17;100;0.0;0.9;0.4;1;1;4.0;100;42;knn;error;0.5;5;95.6;93.0;94.74;0.72;236.02;185.941;10100.0;94.74;12;14.1
65;17;100;0.0;0.9;0.2;1;1;4.0;100;42;svm;error;0.5;5;97.4;93.9;96.4;1.2;387.626;289.761;10100.0;96.49;16;16.0
65;17;100;0.0;0.9;0.2;1;1;4.0;100;42;knn;error;0.5;5;95.6;93.0;94.74;0.72;246.282;186.097;10100.0;94.74;12;14.1
63;52;100;0.0;0.9;0.5;1;1;4.0;100;42;svm;error;0.5;5;98.6;94.4;96.48;1.52;333.91;258.092;10100.0;97.18;14;16.5
63;52;100;0.0;0.9;0.5;1;1;4.0;100;42;knn;error;0.5;5;94.4;85.9;91.41;2.77;228.474;171.575;10100.0;94.37;6;9.4
64;52;100;0.0;0.9;0.4;1;1;4.0;100;42;svm;error;0.5;5;97.2;94.4;95.92;1.04;351.125;257.819;10100.0;95.77;18;16.6
64;52;100;0.0;0.9;0.4;1;1;4.0;100;42;knn;error;0.5;5;94.4;84.5;90.0;3.54;229.005;172.881;10100.0;94.37;6;9.5
65;52;100;0.0;0.9;0.2;1;1;4.0;100;42;svm;error;0.5;5;97.2;93.0;95.63;1.4;331.942;257.352;10100.0;94.37;13;16.2
65;52;100;0.0;0.9;0.2;1;1;4.0;100;42;knn;error;0.5;5;94.4;85.9;90.28;3.66;217.687;172.472;10100.0;85.92;11;9.7
63;151;100;0.0;0.9;0.5;1;1;4.0;100;42;svm;error;0.5;5;88.1;81.0;83.81;2.46;336.224;264.181;10100.0;85.71;28;27.8
63;151;100;0.0;0.9;0.5;1;1;4.0;100;42;knn;error;0.5;5;95.2;71.4;80.0;6.85;227.482;173.397;10100.0;73.81;29;26.6
64;151;100;0.0;0.9;0.4;1;1;4.0;100;42;svm;error;0.5;5;90.5;76.2;85.24;4.46;329.062;262.756;10100.0;76.19;26;27.9
64;151;100;0.0;0.9;0.4;1;1;4.0;100;42;knn;error;0.5;5;90.5;66.7;77.62;6.75;209.441;172.238;10100.0;78.57;23;27.9
65;151;100;0.0;0.9;0.2;1;1;4.0;100;42;svm;error;0.5;5;92.9;78.6;85.71;3.72;322.928;263.314;10100.0;85.71;25;27.1
65;151;100;0.0;0.9;0.2;1;1;4.0;100;42;knn;error;0.5;5;81.0;66.7;76.9;4.35;201.519;172.573;10100.0;73.81;27;28.2
