Case_ID,Dataset_ID,Swarm_Size,W,W_Max,W_Min,C1,C2,Vmax,Generations_number,Seed,Evaluator,Fitness,Alpha,CV_Folds,NBPSO_Best,NBPSO_Worst,NBPSO_Avg,NBPSO_Std,NBPSO_Wall_Time_Avg(s),NBPSO_CPU_Time_Avg(s),NBPSO_NFE_Avg,Champion_Score,Champion_Features,Nb_Features_Keep
63,17,100,0.0,0.9,0.5,1,1,4.0,100,42,knn,error,0.5,5,95.6,93.0,94.74,0.68,224.39,181.197,10000,95.61,19,14.1
63,17,100,0.0,0.9,0.5,1,1,4.0,100,42,svm,error,0.5,5,97.4,93.9,96.14,1.19,334.829,281.419,10000,97.37,17,15.8
63,52,100,0.0,0.9,0.5,1,1,4.0,100,42,knn,error,0.5,5,94.4,85.9,91.41,2.63,228.474,171.575,10000,94.37,12,9.4
63,52,100,0.0,0.9,0.5,1,1,4.0,100,42,svm,error,0.5,5,98.6,94.4,96.48,1.44,333.91,258.092,10000,98.59,21,16.5
63,151,100,0.0,0.9,0.5,1,1,4.0,100,42,knn,error,0.5,5,95.2,71.4,80.0,6.5,227.482,173.397,10000,95.24,31,26.6
63,151,100,0.0,0.9,0.5,1,1,4.0,100,42,svm,error,0.5,5,88.1,81.0,83.81,2.33,336.224,264.181,10000,88.1,33,27.8
63,174,100,0.0,0.9,0.5,1,1,4.0,100,42,knn,error,0.5,5,89.7,82.1,85.02,2.94,219.696,182.028,10000,89.74,12,10.34
63,174,100,0.0,0.9,0.5,1,1,4.0,100,42,svm,error,0.5,5,94.9,84.6,93.44,2.86,356.967,314.31,10000,94.87,15,9.62
64,17,100,0.0,0.9,0.4,1,1,4.0,100,42,knn,error,0.5,5,95.6,93.0,94.74,0.68,236.02,185.941,10000,95.61,19,14.1
64,17,100,0.0,0.9,0.4,1,1,4.0,100,42,svm,error,0.5,5,97.4,93.9,96.14,1.19,353.92,282.573,10000,97.37,17,16.3
64,52,100,0.0,0.9,0.4,1,1,4.0,100,42,knn,error,0.5,5,94.4,84.5,90.0,3.36,229.005,172.881,10000,94.37,12,9.5
64,52,100,0.0,0.9,0.4,1,1,4.0,100,42,svm,error,0.5,5,97.2,94.4,95.92,0.99,351.125,257.819,10000,97.18,20,16.6
64,151,100,0.0,0.9,0.4,1,1,4.0,100,42,knn,error,0.5,5,90.5,66.7,77.62,6.41,209.441,172.238,10000,90.48,36,27.9
64,151,100,0.0,0.9,0.4,1,1,4.0,100,42,svm,error,0.5,5,90.5,76.2,85.24,4.23,329.062,262.756,10000,90.48,33,27.9
64,174,100,0.0,0.9,0.4,1,1,4.0,100,42,knn,error,0.5,5,89.7,82.1,84.87,2.91,184.375,150.734,10000,89.74,12,10.3
64,174,100,0.0,0.9,0.4,1,1,4.0,100,42,svm,error,0.5,5,94.9,84.6,93.08,3.05,252.803,203.437,10000,94.87,15,9.2
65,17,100,0.0,0.9,0.2,1,1,4.0,100,42,knn,error,0.5,5,95.6,93.0,94.74,0.68,246.282,186.097,10000,95.61,19,14.1
65,17,100,0.0,0.9,0.2,1,1,4.0,100,42,svm,error,0.5,5,97.4,93.9,96.4,1.14,387.626,289.761,10000,97.37,18,16.0
65,52,100,0.0,0.9,0.2,1,1,4.0,100,42,knn,error,0.5,5,94.4,85.9,90.28,3.48,217.687,172.472,10000,94.37,14,9.7
65,52,100,0.0,0.9,0.2,1,1,4.0,100,42,svm,error,0.5,5,97.2,93.0,95.63,1.33,331.942,257.352,10000,97.18,18,16.2
65,151,100,0.0,0.9,0.2,1,1,4.0,100,42,knn,error,0.5,5,81.0,66.7,76.9,4.13,201.519,172.573,10000,80.95,32,28.2
65,151,100,0.0,0.9,0.2,1,1,4.0,100,42,svm,error,0.5,5,92.9,78.6,85.71,3.53,322.928,263.314,10000,92.86,35,27.1
65,174,100,0.0,0.9,0.2,1,1,4.0,100,42,knn,error,0.5,5,89.7,82.1,84.87,2.91,182.19,151.756,10000,89.74,12,10.2
65,174,100,0.0,0.9,0.2,1,1,4.0,100,42,svm,error,0.5,5,94.9,89.7,93.85,1.7,240.769,202.566,10000,94.87,15,9.2
