Case_ID;Dataset_ID;Initial_Temp;Cooling_Rate;Total_Evals;Expected_Final_Temp;Final_Temp;Evaluator;Fitness;Alpha;CV_Folds;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Wall_Time_Avg(s);SA_CPU_Time_Avg(s);SA_NFE_Avg;Champion_Score;Champion_Features;Nb_Features_Keep
43;174;0.001;0.999;10000;5e-08;5e-08;svm;error;0.5;5;94.9;79.5;88.46;5.44;250.68;206.92;10000.0;79.49;11;9.1
43;174;0.001;0.999;10000;5e-08;5e-08;knn;error;0.5;5;87.2;76.9;84.1;3.59;193.677;158.156;10000.0;87.18;11;9.5
44;174;0.001;0.9995;10000;6.73e-06;6.73e-06;svm;error;0.5;5;94.9;79.5;88.46;5.44;257.518;208.772;10000.0;79.49;11;9.1
44;174;0.001;0.9995;10000;6.73e-06;6.73e-06;knn;error;0.5;5;87.2;76.9;84.1;3.59;192.942;158.822;10000.0;87.18;11;9.5
45;174;0.001;0.9999;10000;0.0003679;0.0003679;svm;error;0.5;5;94.9;79.5;88.72;5.3;251.788;208.637;10000.0;79.49;11;8.8
45;174;0.001;0.9999;10000;0.0003679;0.0003679;knn;error;0.5;5;87.2;76.9;83.33;3.68;190.36;158.219;10000.0;87.18;11;9.5
46;174;0.01;0.999;10000;4.5e-07;4.5e-07;svm;error;0.5;5;92.3;79.5;88.46;4.4;250.124;210.316;10000.0;82.05;10;9.0
46;174;0.01;0.999;10000;4.5e-07;4.5e-07;knn;error;0.5;5;87.2;76.9;84.62;3.63;187.052;158.084;10000.0;84.62;11;9.8
47;174;0.01;0.9995;10000;6.733e-05;6.733e-05;svm;error;0.5;5;94.9;79.5;88.46;5.3;249.486;209.002;10000.0;79.49;12;9.1
47;174;0.01;0.9995;10000;6.733e-05;6.733e-05;knn;error;0.5;5;87.2;76.9;84.62;3.63;188.26;157.991;10000.0;84.62;11;10.1
48;174;0.01;0.9999;10000;0.00367898;0.00367898;svm;error;0.5;5;94.9;79.5;88.46;6.07;253.222;212.552;10000.0;79.49;12;8.1
