dataset_id,evaluator,algorithm,case_id,final_score,best_fitness,nb_features_keep,best_mask,run_id
17,svm,BDE,5,99.12280701754386,0.0197802197802197,16,110101101110010000101101100110,320
17,svm,SA,47,99.12280701754386,0.0175824175824175,17,110000111110101100001100101111,323
17,svm,AMDE,17,98.24561403508773,0.0153846153846153,12,100000101000001111001101100100,361
17,svm,NBPSO,55,98.24561403508773,0.0175824175824175,16,11001101110101101001110101000,70
17,svm,NBPSO_LDIW,63,97.36842105263158,0.0175824175824175,17,100101110000101101101111100011,158
17,knn,AMDE,17,95.6140350877193,0.0549450549450549,17,110011111101000010001110011110,365
17,knn,BDE,1,95.6140350877193,0.0549450549450549,15,110000101110000011011110110001,249
17,knn,NBPSO,55,95.6140350877193,0.0549450549450549,14,110001001101001100101110110000,71
17,knn,NBPSO_LDIW,63,95.6140350877193,0.0549450549450549,14,110001001101001100101110110000,165
17,knn,SA,43,95.6140350877193,0.0549450549450549,15,110010000101001100011110111001,245
52,svm,SA,51,100.0,0.05,20,100100111101001111001110110101011,656
52,svm,AMDE,19,98.59154929577466,0.0428571428571429,20,1100100101001101001101110110101111,650
52,svm,BDE,1,98.59154929577466,0.0428571428571429,17,1001100111100111000000010111100011,483
52,svm,NBPSO,55,98.59154929577466,0.0357142857142858,17,1100100111100111000010110110100001,125
52,svm,NBPSO_LDIW,63,98.59154929577466,0.0357142857142858,17,100100100000101011110110111100101,215
52,knn,BDE,3,97.1830985915493,0.0999999999999999,11,110110110001010010001100000000000,537
52,knn,AMDE,17,95.77464788732394,0.0785714285714285,8,1100100100000100000000001110000000,618
52,knn,NBPSO,58,95.77464788732394,0.0678571428571427,7,1110100100000000000000000000000011,125
52,knn,SA,43,95.77464788732394,0.1142857142857142,13,1000110000110010010100000111101000,510
52,knn,NBPSO_LDIW,63,94.3661971830986,0.0642857142857142,6,101100000000000000000000010110000,221
151,knn,NBPSO_LDIW,63,95.23809523809524,0.0782531194295899,26,10101111110000010000010010100011001100110010011001101010100,291
151,knn,SA,47,95.23809523809524,0.0663101604278075,28,11101011111001100000010010000011001100010000011111101100101,867
151,svm,AMDE,42,95.23809523809524,0.1024955436720143,20,100001111000010011100100001100000100001101101100001,952
151,svm,NBPSO,60,92.85714285714286,0.0540106951871657,24,100000000100101110010010011100010001110010000100100111100101,223
151,svm,NBPSO_LDIW,65,92.85714285714286,0.0841354723707665,24,11110000110010010011100011001110001010100000101100101,318
151,svm,SA,46,92.85714285714286,0.096078431372549,33,100111101100001111001011011010010001110001110111101000101110,844
151,knn,AMDE,19,90.47619047619048,0.1265597147950089,33,100101111010100010100010010100011001110011101011111101011101,897
151,knn,BDE,6,90.47619047619048,0.1149732620320855,28,101000011111100100100111100000001100000111101101000110001110,827
151,knn,NBPSO,58,90.47619047619048,0.0782531194295899,32,100110001111000010000001010100111001110110001111111010111011,194
151,svm,BDE,1,90.47619047619048,0.1083778966131907,23,11101000010010110111000001010110011011100001100001000,724
174,svm,AMDE,21,97.43589743589745,0.1151209677419353,9,1100000100010011010011,212
174,svm,BDE,1,97.43589743589745,0.1151209677419353,9,1100000101000011010011,11
174,svm,NBPSO,58,97.43589743589745,0.1151209677419353,9,1100010001000011010011,9
174,svm,NBPSO_LDIW,63,94.87179487179486,0.1151209677419353,7,1000000000001111101,4
174,svm,SA,43,94.87179487179486,0.1028225806451612,10,1110000000001011110101,7
174,knn,AMDE,17,89.74358974358975,0.1024193548387095,8,1100010010100010101,134
174,knn,BDE,4,89.74358974358975,0.1024193548387095,8,1010000101100010101,75
174,knn,NBPSO,55,89.74358974358975,0.1024193548387095,9,1001110100100010101,18
174,knn,NBPSO_LDIW,63,89.74358974358975,0.1024193548387095,9,1000101101100010101,14
174,knn,SA,43,87.17948717948718,0.0961693548387095,14,111111011110111001,0
